"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"hs_no2_dy_hs_h_Log";"e3_bw";0;-0,0229119773674175;0,0225186293594549;0,0547542614840976;-0,130228357876337;0,0844044031415023;-0,053888249261197;0,12970475562198;-0,418451034611652;0,675617379875147;FALSE;100;"5";"Childhood"
"hs_no2_yr_hs_h_Log";"e3_bw";0;-0,0272417248826129;-0,0295314245059729;0,0457561112769411;-0,116922055058024;0,0624386052927986;-0,115522568768933;0,0699004854345798;-0,595368009263966;0,551597504630281;FALSE;100;"5";"Childhood"
"hs_pm10_dy_hs_h_None";"e3_bw";0;-0,0101301576153889;0,00592176881387146;0,0356241168191039;-0,0799521435618801;0,0596918283311022;-0,0553351510404446;0,0836381375718429;-0,28436235112379;0,776132708001794;FALSE;100;"5";"Childhood"
"hs_pm10_wk_hs_h_None";"e3_bw";0;0,0111640041903031;-0,00150178879423444;0,0296235976406847;-0,0468971802779446;0,0692251886585508;-0,0539310829424757;0,0537360823223601;0,376861862820152;0,706276264387146;FALSE;100;"5";"Childhood"
"hs_pm10_yr_hs_h_None";"e3_bw";0;0,0686056749299955;0,0664780821869855;0,0423425083716989;-0,01438411649362;0,151595466353611;-0,0118134977129706;0,137542625318441;1,6202553313032;0,105177439984903;FALSE;100;"5";"Childhood"
"hs_pm25_dy_hs_h_None";"e3_bw";0;-0,000775710959433865;-0,012798178941803;0,0378448720096885;-0,0749502970979513;0,0733988751790835;-0,0805236181177926;0,0609763400991436;-0,0204971220205284;0,983646807890193;FALSE;100;"5";"Childhood"
"hs_pm25_yr_hs_h_None";"e3_bw";0;-0,00527668437354776;-0,00141458928998103;0,0504898383245953;-0,104234949075005;0,0936815803279091;-0,0792340963102568;0,118661062192199;-0,104509829079356;0,916764768517845;FALSE;100;"5";"Childhood"
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;0,0535236208116873;0,0428982384522945;0,0262140714271562;0,00214498492630069;0,104902256697074;-0,0170774769830737;0,0878777606556466;2,04178969147998;0,0411723972452494;TRUE;100;"5";"Childhood"
"hs_pm25abs_wk_hs_h_Log";"e3_bw";0;-0,0260087755532244;-0,0292024105531908;0,0285400811406607;-0,0819463067047702;0,0299287555983213;-0,07927338971298;0,0223744932822427;-0,911306994014466;0,362133642332788;FALSE;100;"5";"Childhood"
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;-0,0125882957557071;-0,0233261024854954;0,0335325446526654;-0,0783108755849126;0,0531342840734983;-0,0946798145904505;0,0310561231260744;-0,375405322980954;0,707359046740454;FALSE;100;"5";"Childhood"
"hs_accesslines300_h_dic0";"e3_bw";0;0,0648407207998955;0,0792051718358605;0,119685277435988;-0,169738112454325;0,299419554054116;-0,130725110880856;0,352379107278315;0,541760208013677;0,587983706971059;FALSE;100;"5";"Childhood"
"hs_accesspoints300_h_Log";"e3_bw";0;-0,0531006165717552;-0,057847869819995;0,036699295975482;-0,125029914941676;0,0188286817981652;-0,132085541352381;0,00309831972819847;-1,44691104176033;0,147921840201586;FALSE;100;"5";"Childhood"
"hs_connind300_h_Log";"e3_bw";0;-0,0246078286272385;-0,0118086063747332;0,0289879307961302;-0,0814231289739933;0,0322074717195162;-0,0655659309389833;0,0408869488397726;-0,848899109091414;0,395937434649508;FALSE;100;"5";"Childhood"
"hs_fdensity300_h_Log";"e3_bw";0;0,055938918594569;0,0590126405889215;0,0433023125050061;-0,0289320543625414;0,140809891551679;-0,0318815371851699;0,133831583918945;1,29182289255573;0,196418485540452;FALSE;100;"5";"Childhood"
"hs_landuseshan300_h_None";"e3_bw";0;0,0222166710034881;0,0123964933694288;0,0226122859587296;-0,0221025950837426;0,0665359370907189;-0,0317497684150218;0,0608801109037132;0,98250442454321;0,325851404277356;FALSE;100;"5";"Childhood"
"hs_popdens_h_Sqrt";"e3_bw";0;-0,00569599103853538;-0,0116590302988914;0,0270871617580411;-0,0587858525277066;0,0473938704506358;-0,0642183949565306;0,0380467946499252;-0,210283790137018;0,833446186046204;FALSE;100;"5";"Childhood"
"hs_walkability_mean_h_None";"e3_bw";0;0,0188849386438483;0,0211948801589213;0,0281905420280874;-0,0363675084358658;0,0741373857235624;-0,0242824780006027;0,0787123737316546;0,669903353579808;0,502919401792105;FALSE;100;"5";"Childhood"
"hs_accesslines300_s_dic0";"e3_bw";0;-0,0647874200998191;-0,078907067529156;0,104082755303284;-0,268785871905951;0,139211031706313;-0,301914063818203;0,100267645461202;-0,622460655571971;0,533639007002145;FALSE;100;"5";"Childhood"
"hs_accesspoints300_s_Log";"e3_bw";0;-0,0366052581718377;-0,0344504555437148;0,0310799795156155;-0,0975208986626867;0,0243103823190113;-0,103751843059355;0,0182044596075029;-1,17777613570968;0,238885864895947;FALSE;100;"5";"Childhood"
"hs_builtdens300_s_Sqrt";"e3_bw";0;0,00977538664646438;0,0221600179302801;0,0297955814756763;-0,04862287994429;0,0681736532372188;-0,0311602794590057;0,0822190265725356;0,328081754485796;0,742849848991705;FALSE;100;"5";"Childhood"
"hs_connind300_s_Log";"e3_bw";0;-0,0133025769870846;-0,0190829995573261;0,0288997558749739;-0,0699450576640333;0,0433399036898641;-0,080469707586976;0,0316253391736556;-0,460300669826907;0,645300420464373;FALSE;100;"5";"Childhood"
