"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"h_abs_ratio_preg_Log";"e3_bw";0;0,0097446987029633;0,00480027192123014;0,0382438265390059;-0,0652118239444853;0,0847012213504119;-0,0563226773143006;0,0883288066191545;0,254804489635064;0,798874107480204;FALSE;100;"3";"Combined"
"h_no2_ratio_preg_Log";"e3_bw";0;0,011490545451429;0,0220399816703433;0,033629692494599;-0,054422440649142;0,0774035315519999;-0,0549885488195898;0,0778781629146662;0,341678576254433;0,732592796494081;FALSE;100;"3";"Combined"
"h_pm25_ratio_preg_None";"e3_bw";0;0,0393101181111421;0,019341315901822;0,0296513188446095;-0,0188053989184063;0,0974256351406905;-0,03638956656159;0,0695969589105375;1,32574602556974;0,184923836585381;FALSE;100;"3";"Combined"
"h_accesslines300_preg_dic0";"e3_bw";0;-0,0663186879955983;-0,0563536887763775;0,132619447106344;-0,326248027973648;0,193610651982451;-0,319973641869481;0,19721581724535;-0,500067595232989;0,617027482380734;FALSE;100;"3";"Combined"
"h_accesspoints300_preg_Log";"e3_bw";0;0,0334050583155184;0,047841223205513;0,0418170446196216;-0,0485548430788444;0,115364959709881;-0,0132898999081275;0,139310453805321;0,798838335405556;0,424384158695323;FALSE;100;"3";"Combined"
"h_builtdens300_preg_Sqrt";"e3_bw";0;0,0244206674068084;0,0106748868616993;0,0296296086753135;-0,0336522984728217;0,0824936332864385;-0,0586427022761469;0,0647316200839062;0,824198107859417;0,409827001986767;FALSE;100;"3";"Combined"
"h_connind300_preg_Sqrt";"e3_bw";0;0,0178938069964318;0,0142034366306956;0,0301815938669946;-0,0412610299788925;0,0770486439717562;-0,0303982944838497;0,0786110535809283;0,592871505570148;0,55326714885862;FALSE;100;"3";"Combined"
"h_fdensity300_preg_Log";"e3_bw";0;0,00805770904424761;0,0049637595062999;0,0389347106284579;-0,0682529215360188;0,084368339624514;-0,0607193982959953;0,0734538559212312;0,206954383741024;0,836045483692535;FALSE;100;"3";"Combined"
"h_frichness300_preg_None";"e3_bw";0;0,0190175809555303;0,0291722866484235;0,036847990329103;-0,0532031529921917;0,0912383149032523;-0,0245506325836847;0,106653517272603;0,516109041108545;0,605778253706458;FALSE;100;"3";"Combined"
"h_landuseshan300_preg_None";"e3_bw";0;0,000862735379116824;0,0140258480682751;0,0258064811671033;-0,0497170382761168;0,0514425090343505;-0,0303888620973509;0,0688358287294058;0,0334309576548;0,973330922815586;FALSE;100;"3";"Combined"
"h_popdens_preg_Sqrt";"e3_bw";0;-0,0116662269274474;-0,00391425824352497;0,0278661913904175;-0,0662829584389659;0,042950504584071;-0,0533948736133977;0,0514418185742356;-0,418651647223637;0,675470738236463;FALSE;100;"3";"Combined"
"h_walkability_mean_preg_None";"e3_bw";0;-0,00834567982029009;-0,0331489203756162;0,0393985055610659;-0,0855653317646803;0,0688739721241001;-0,121892896396452;0,0312476400364852;-0,211827319372677;0,832241754349337;FALSE;100;"3";"Combined"
"hs_as_m_Log2";"e3_bw";0;-0,000922780666040265;-0,0014982018573887;0,0239064977604295;-0,0477786552729695;0,045933093940889;-0,0608487170256555;0,0339867433022541;-0,0385995755332958;0,969209640717355;FALSE;100;"3";"Combined"
"hs_cd_m_Log2";"e3_bw";0;0,0084188925586721;0,0057043278658977;0,0225043441360676;-0,0356888114437156;0,0525265965610598;-0,0451209393480436;0,04100566851578;0,374100773955868;0,708329342903983;FALSE;100;"3";"Combined"
"hs_co_m_Log2";"e3_bw";0;0,00908459341189681;0,013161148142239;0,0255006655171881;-0,0408957925835944;0,059064979407388;-0,0287299810793013;0,0750839755183616;0,356249267524942;0,721653898796142;FALSE;100;"3";"Combined"
"hs_cu_m_Log2";"e3_bw";0;0,0294302638612104;0,0260308593307197;0,0248020659692116;-0,0191808921806308;0,0780414199030516;-0,0161712070956179;0,0809930121526685;1,18660533754503;0,235383329559894;FALSE;100;"3";"Combined"
"hs_mn_m_Log2";"e3_bw";0;0,0291855536477244;0,0244486897528414;0,020940170278631;-0,0118564259285285;0,0702275332239773;-0,0125173429753151;0,060049350847989;1,39375913659631;0,163390351706014;FALSE;100;"3";"Combined"
"hs_mo_m_Log2";"e3_bw";0;0,0261290323766244;0,0168841704020784;0,0204416317450238;-0,0139358296288529;0,0661938943821017;-0,0158643833944053;0,0609174706181536;1,27822635211032;0,20116962704225;FALSE;100;"3";"Combined"
"h_humidity_preg_None";"e3_bw";0;-0,0984278752123604;-0,101266155821201;0,0476750340155344;-0,19186922484453;-0,00498652558019105;-0,181094149925148;-0,0144000527924473;-2,06455804898406;0,0389648360559892;TRUE;100;"3";"Combined"
"h_ndvi100_preg_None";"e3_bw";0;0,0248061513090983;0,015684192464983;0,030311670207078;-0,0346036306080304;0,084215933226227;-0,0382877399734592;0,0737139891149408;0,818369662233455;0,413146139370723;FALSE;100;"3";"Combined"
"hs_dde_madj_Log2";"e3_bw";0;-0,0540678203352879;-0,0635999561622133;0,0372471458333475;-0,12707088469556;0,0189352440249843;-0,136491133831054;-0,00230304861652554;-1,45159633377548;0,146613878762741;FALSE;100;"3";"Combined"
"hs_hcb_madj_Log2";"e3_bw";0;0,0165228824550553;0,0205959574243661;0,0223187638515408;-0,027221090873419;0,0602668557835297;-0,0194690913262163;0,0598968019097452;0,740313512207114;0,459109783909937;FALSE;100;"3";"Combined"
"hs_pcb118_madj_Log2";"e3_bw";0;-0,055177538696657;-0,0549306682986943;0,0398627044573005;-0,13330700375933;0,0229519263660162;-0,125485933947551;0,0170635203770691;-1,38418954378174;0,166300424193534;FALSE;100;"3";"Combined"
"hs_pcb138_madj_Log2";"e3_bw";0;0,0807021398469842;0,0491902700377508;0,0462141033953508;-0,00987583838571358;0,171280118079682;-0,0478255525049791;0,139054503959179;1,74626648399075;0,0807646569224505;FALSE;100;"3";"Combined"
"hs_pcb170_madj_Log2";"e3_bw";0;-0,00212843209165256;0,0164444050949991;0,0415777493428676;-0,083619323361907;0,0793624591786019;-0,0627452512232929;0,101892316221295;-0,0511916139110997;0,959172834214149;FALSE;100;"3";"Combined"
"hs_pcb180_madj_Log2";"e3_bw";0;-0,00623426168389264;-0,00141365034040972;0,0454144928951726;-0,0952450321345811;0,0827765087667958;-0,1039056174956;0,0806187774620274;-0,137274717528671;0,890813653719374;FALSE;100;"3";"Combined"
"hs_pfhxs_m_Log2";"e3_bw";0;0,010587706426684;0,0194373995093684;0,0295391073798111;-0,047307880173207;0,068483293026575;-0,0270733830946711;0,0907238166514151;0,358430141119305;0,720021438648143;FALSE;100;"3";"Combined"
"hs_pfna_m_Log2";"e3_bw";0;0,0109145433643925;-0,0115334978084741;0,029130937158939;-0,0461810443030275;0,0680101310318124;-0,0697870881948597;0,0353951453322004;0,374671892800513;0,707904498329648;FALSE;100;"3";"Combined"
"e3_asmokcigd_p_None";"e3_bw";0;-0,0188825369477956;-0,0293775442368626;0,0267267070714466;-0,0712659202331828;0,0335008463375917;-0,0790532727803562;0,0105843489615214;-0,706504430093773;0,479874498712435;FALSE;100;"3";"Combined"
"h_trafload_preg_pow1over3";"e3_bw";0;0,00277966527480725;0,00270624909181304;0,0216164204620171;-0,0395877403054209;0,0451470708550354;-0,037105092800558;0,0412842721726826;0,128590451860033;0,897681721890785;FALSE;100;"3";"Combined"
"h_trafnear_preg_pow1over3";"e3_bw";0;-0,0150978829850013;-0,00732743024004174;0,0270525808238251;-0,0681199670885574;0,0379242011185549;-0,0569227411544557;0,0471817929248067;-0,558093997882251;0,576780198968999;FALSE;100;"3";"Combined"
"h_clf_preg_Log";"e3_bw";0;-0,0242841296156863;-0,0316064755037204;0,0248260126564883;-0,0729422203021389;0,0243739610707663;-0,0703867445399408;0,0109631059512465;-0,97817277191066;0,327988880660315;FALSE;100;"3";"Combined"
"h_thm_preg_Log";"e3_bw";0;0,00282329986111551;0,00201935733761877;0,0255180720392261;-0,0471912022906663;0,0528378020128973;-0,0415638082579393;0,0569780796779742;0,110639230768514;0,911902436792237;FALSE;100;"3";"Combined"
"e3_alcpreg_yn_None_1";"e3_bw";0;0,0182722501514001;0,0016291683834162;0,0400225098705283;-0,0601704277657342;0,0967149280685345;-0,0796193431002682;0,077172363969972;0,456549332126105;0,647995004754123;FALSE;100;"3";"Combined"
"h_pamod_t3_None_Often";"e3_bw";0;0,0126157059894867;0,0270301797230213;0,0721650683537969;-0,128825228925826;0,1540566409048;-0,103830528228486;0,177594182812686;0,174817349685541;0,861223155192131;FALSE;100;"3";"Combined"
"h_pamod_t3_None_Sometimes";"e3_bw";0;0,0368148056578135;0,0159968154662296;0,0818699246993726;-0,123647298169963;0,19727690948559;-0,121263799684238;0,181825250786013;0,449674355912723;0,652945264724075;FALSE;100;"3";"Combined"
"h_pamod_t3_None_Very Often";"e3_bw";0;-0,0160671062878849;-0,0139944801723964;0,0696226315634074;-0,152524956661065;0,120390744085295;-0,145656769471144;0,119324525824329;-0,23077418832197;0,81749023474632;FALSE;100;"3";"Combined"
"h_pavig_t3_None_Low";"e3_bw";0;-0,140510717569593;-0,15597645244019;0,0847001718550724;-0,306520003889888;0,0254985687507024;-0,291746527253287;0,0313347757144057;-1,65891891943284;0,0971321316919265;FALSE;100;"3";"Combined"
"h_pavig_t3_None_Medium";"e3_bw";0;-0,177328039227719;-0,185184351497702;0,0999850423609676;-0,373295121247927;0,0186390427924894;-0,36657246615967;0,0229107143207108;-1,773545672837;0,0761383307582227;FALSE;100;"3";"Combined"
"hs_no2_dy_hs_h_Log";"e3_bw";0;-0,0401235836106888;-0,00793931139029113;0,0417877539401534;-0,122026076328211;0,0417789091068337;-0,0700564936466867;0,0899904476375222;-0,960175645433157;0,336966822028141;FALSE;100;"3";"Combined"
"hs_pm10_dy_hs_h_None";"e3_bw";0;0,0357238092742381;0,0327289506637421;0,0264200738479128;-0,0160585839365596;0,0875062024850357;-0,0131672698904042;0,083300632427463;1,3521464580259;0,17632846783627;FALSE;100;"3";"Combined"
"hs_pm10_wk_hs_h_None";"e3_bw";0;0,0199008568308558;0,00533441356108958;0,036477307147986;-0,0515933514322022;0,0913950650939137;-0,0643945776276999;0,0887085471179706;0,545568145974135;0,585362825559095;FALSE;100;"3";"Combined"
"hs_pm25_dy_hs_h_None";"e3_bw";0;-0,0326822312473117;-0,0294474382458656;0,0312724751772711;-0,0939751563021858;0,0286106938075625;-0,0840204997762688;0,0341854839236295;-1,04507977261311;0,295986101863733;FALSE;100;"3";"Combined"
"hs_pm25_yr_hs_h_None";"e3_bw";0;0,00875352879079854;0,0144048321883487;0,0581972356389851;-0,105310957061403;0,122818014643;-0,0797141843083958;0,12757522641147;0,150411418939197;0,880440032748515;FALSE;100;"3";"Combined"
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;0,044519304665404;0,0326411194288871;0,0264182293352252;-0,00725947336695704;0,096298082697765;-0,014468148439608;0,074865223989571;1,68517367687634;0,0919550681198451;FALSE;100;"3";"Combined"
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;-0,0143692149932245;-0,0147969325470732;0,026698829685698;-0,0666979596065614;0,0379595296201125;-0,0663510476410883;0,0304223625786206;-0,538196436412407;0,590441440021458;FALSE;100;"3";"Combined"
"hs_accesslines300_h_dic0";"e3_bw";0;0,0462794509552588;0,0702685683931718;0,20873420147555;-0,362832066278547;0,455390968189065;-0,321834466048578;0,44460814075397;0,221714748364703;0,824535948306189;FALSE;100;"3";"Combined"
"hs_accesspoints300_h_Log";"e3_bw";0;-0,0647733470719701;-0,0766122839590035;0,0508446972367642;-0,164427122460871;0,0348804283169309;-0,199068494566276;0,00667930947619092;-1,27394498526258;0,202682914072156;FALSE;100;"3";"Combined"
"hs_connind300_h_Log";"e3_bw";0;-0,0214095952662605;-0,00840489145186487;0,0305465698910426;-0,0812797721039396;0,0384605815714185;-0,0606842967801891;0,0603071393808344;-0,700883776562377;0,483375549789683;FALSE;100;"3";"Combined"
"hs_fdensity300_h_Log";"e3_bw";0;0,0174150750769968;0,0192348692402865;0,0327067800441735;-0,0466890358598567;0,0815191860138503;-0,0527135094280674;0,0707299716761674;0,53246070244384;0,594406952327254;FALSE;100;"3";"Combined"
"hs_landuseshan300_h_None";"e3_bw";0;0,0244320790437987;0,00754115263007691;0,0263346782621187;-0,0271829418944038;0,0760470999820012;-0,0459070780511174;0,0497819486681097;0,927753086656964;0,353535664166717;FALSE;100;"3";"Combined"
