"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"h_abs_ratio_preg_Log";"e3_bw";0;-0,00724306816640753;-0,00575863347967455;0,00527612557823046;-0,0175840842776498;0,00309794794483473;-0,0166727078698764;0,00216413120488345;-1,37280056340826;0,169814355567796;FALSE;100;"3";"Pregnancy"
"h_no2_ratio_preg_Log";"e3_bw";0;0,00429821865676636;0,00312883728856084;0,00400555179829985;-0,00355251860611098;0,0121489559196437;-0,00363811901632792;0,0110797409240293;1,07306530365947;0,283241817019456;FALSE;100;"3";"Pregnancy"
"h_pm10_ratio_preg_None";"e3_bw";0;-0,0119705920051132;-0,0127058688826887;0,00601980790621769;-0,0237691986951493;-0,000171985315077016;-0,0240060047738284;-0,00220870819646398;-1,98853388540008;0,0467526752369681;TRUE;100;"3";"Pregnancy"
"h_pm25_ratio_preg_None";"e3_bw";0;-0,00317235016568954;-0,00471815295348587;0,00390638367488112;-0,0108287214782518;0,00448402114687267;-0,0121276008474785;0,00341526866935676;-0,81209385193995;0,416737780708543;FALSE;100;"3";"Pregnancy"
"h_accesslines300_preg_dic0";"e3_bw";0;0,0279390091782243;0,0306966579175217;0,0207702200168872;-0,0127698740058476;0,0686478923622962;-0,0051329118662604;0,0715948604579388;1,34514748305547;0,178577611834589;FALSE;100;"3";"Pregnancy"
"h_accesspoints300_preg_Log";"e3_bw";0;0,00310538315159574;0,00558476255691965;0,00490132146483225;-0,00650103039612857;0,01271179669932;-0,00302777056064894;0,0146939185989496;0,633580795276814;0,526354437359422;FALSE;100;"3";"Pregnancy"
"h_builtdens300_preg_Sqrt";"e3_bw";0;0,0013670303593956;-0,000483427753994619;0,00405395346462852;-0,00657857242627767;0,00931263314506886;-0,00820831648175157;0,00742492687357413;0,337209188838299;0,735959210861873;FALSE;100;"3";"Pregnancy"
"h_connind300_preg_Sqrt";"e3_bw";0;0,0030658686980829;0,00357632279192095;0,00410254491138517;-0,0049749715731901;0,0111067089693559;-0,00423994088955601;0,0119355410228664;0,74730899095697;0,454877066523525;FALSE;100;"3";"Pregnancy"
"h_fdensity300_preg_Log";"e3_bw";0;0,00979937349886411;0,0093338361497963;0,00487111791301985;0,000252157824897297;0,0193465891728309;0,000610751465913423;0,019409131687027;2,01172988908187;0,0442484180997439;TRUE;100;"3";"Pregnancy"
"h_frichness300_preg_None";"e3_bw";0;0,0137276730794269;0,012879729791005;0,00416249531915029;0,00556933216807581;0,0218860139907781;0,00615020817647466;0,0214644278605573;3,29794318717197;0,000973958386091652;TRUE;100;"3";"Pregnancy"
"h_landuseshan300_preg_None";"e3_bw";0;0,00402197362658014;0,00435338062632581;0,00340034391612656;-0,0026425779840778;0,0106865252372381;-0,0026411046488442;0,0112604737416562;1,18281377583762;0,236882959717989;FALSE;100;"3";"Pregnancy"
"h_popdens_preg_Sqrt";"e3_bw";0;0,000596327330972566;0,00302494428116473;0,00444353377691014;-0,00811283883585855;0,00930549349780368;-0,00689449639411188;0,0101939704864511;0,13420114731011;0,893243518697846;FALSE;100;"3";"Pregnancy"
"h_walkability_mean_preg_None";"e3_bw";0;-0,0107455873886977;-0,0119295693930309;0,00470368517658053;-0,0199646409294105;-0,00152653384798495;-0,0219787512979532;-0,00393937463287094;-2,28450395494145;0,0223419304224313;TRUE;100;"3";"Pregnancy"
"hs_as_m_Log2";"e3_bw";0;0,00815810293054844;0,00711514616260919;0,00336614149990442;0,00156058682387014;0,0147556190372267;0,00196893060522579;0,0140911899111498;2,42357694433822;0,0153684971909549;TRUE;100;"3";"Pregnancy"
"hs_cd_m_Log2";"e3_bw";0;0,00180033860245673;0,00267828662902358;0,0034659861825799;-0,00499286948631335;0,00859354669122681;-0,0048888172813507;0,00960084462237154;0,519430403821359;0,60346063387909;FALSE;100;"3";"Pregnancy"
"hs_co_m_Log2";"e3_bw";0;0,00279676162340408;0,00304025399471413;0,00317846601081031;-0,00343291728386882;0,00902644053067699;-0,00253548305651787;0,00869521873084653;0,879909243607449;0,378908476790622;FALSE;100;"3";"Pregnancy"
"hs_cs_m_Log2";"e3_bw";0;-0,00619100315376802;-0,00669678256783642;0,00399471143318788;-0,0140204936914466;0,0016384873839106;-0,0132552774758074;0,000625338349745648;-1,54979984344638;0,121189564632746;FALSE;100;"3";"Pregnancy"
"hs_cu_m_Log2";"e3_bw";0;-0,00279934368504985;-0,00246031226582963;0,00340139712725052;-0,00946595955157886;0,00386727218147917;-0,00859853561196161;0,00387143290164709;-0,822998191720314;0,410509021740022;FALSE;100;"3";"Pregnancy"
"hs_hg_m_Log2";"e3_bw";0;-0,00981596502970635;-0,00918485437048348;0,00341719453298211;-0,0165135432425185;-0,00311838681689425;-0,0163502946375505;-0,00377781098821213;-2,87252157726595;0,00407210270002763;TRUE;100;"3";"Pregnancy"
"hs_mn_m_Log2";"e3_bw";0;0,0021657291780293;0,00138405097193442;0,00316301001640063;-0,00403365653685538;0,00836511489291398;-0,00494948341630217;0,00774102882065255;0,684705127963459;0,493530012496465;FALSE;100;"3";"Pregnancy"
"hs_mo_m_Log2";"e3_bw";0;0,000902282092402058;-0,000764543850343959;0,00303806489167672;-0,0050522156779799;0,00685677986278401;-0,00593791050595836;0,00538111303379354;0,296992370003026;0,766472334332628;FALSE;100;"3";"Pregnancy"
"hs_pb_m_Log2";"e3_bw";0;-0,00305664184599447;-0,00302075260726807;0,00303475966055801;-0,00900466148242317;0,00289137779043424;-0,00837121896940076;0,00330628125330801;-1,00721051677365;0,313833620251845;FALSE;100;"3";"Pregnancy"
"h_humidity_preg_None";"e3_bw";0;0,0302556326629898;0,0335002206225439;0,00600297504014089;0,0184900177842208;0,0420212475417589;0,0204420712318127;0,0427643924595077;5,04010635737705;4,6527320119169e-07;TRUE;100;"3";"Pregnancy"
"h_pressure_preg_None";"e3_bw";0;-0,0396603758932123;-0,0394915386955815;0,00607788660711148;-0,0515728147452691;-0,0277479370411554;-0,0505047673709153;-0,0283789863556913;-6,52535633797566;6,7840054486564e-11;TRUE;100;"3";"Pregnancy"
"h_temperature_preg_None";"e3_bw";0;0,00938879947772577;0,00713080971071802;0,00513814394153757;-0,000681777595070533;0,0194593765505221;-0,00320017738793325;0,0157923852167259;1,82727451479614;0,0676585050611097;FALSE;100;"3";"Pregnancy"
