"exposure";"outcome";"n_significant_loco";"n_positive_significant";"n_negative_significant"
"hs_no2_dy_hs_h_Log";"e3_bw";0;0;0
"hs_no2_yr_hs_h_Log";"e3_bw";0;0;0
"hs_pm10_dy_hs_h_None";"e3_bw";0;0;0
"hs_pm10_wk_hs_h_None";"e3_bw";0;0;0
"hs_pm10_yr_hs_h_None";"e3_bw";0;0;0
"hs_pm25_dy_hs_h_None";"e3_bw";0;0;0
"hs_pm25_yr_hs_h_None";"e3_bw";0;0;0
"hs_pm25abs_dy_hs_h_Log";"e3_bw";1;1;0
"hs_pm25abs_wk_hs_h_Log";"e3_bw";0;0;0
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;0;0
"hs_accesslines300_h_dic0";"e3_bw";0;0;0
"hs_accesspoints300_h_Log";"e3_bw";0;0;0
"hs_connind300_h_Log";"e3_bw";0;0;0
"hs_fdensity300_h_Log";"e3_bw";0;0;0
"hs_landuseshan300_h_None";"e3_bw";0;0;0
"hs_popdens_h_Sqrt";"e3_bw";0;0;0
"hs_walkability_mean_h_None";"e3_bw";0;0;0
"hs_accesslines300_s_dic0";"e3_bw";0;0;0
"hs_accesspoints300_s_Log";"e3_bw";0;0;0
"hs_builtdens300_s_Sqrt";"e3_bw";0;0;0
"hs_connind300_s_Log";"e3_bw";0;0;0
"hs_fdensity300_s_Log";"e3_bw";0;0;0
"hs_landuseshan300_s_None";"e3_bw";0;0;0
"hs_popdens_s_Sqrt";"e3_bw";0;0;0
"h_Absorbance_Log";"e3_bw";0;0;0
"h_Benzene_Log";"e3_bw";1;0;1
"h_NO2_Log";"e3_bw";0;0;0
"h_PM_Log";"e3_bw";0;0;0
"h_TEX_Log";"e3_bw";0;0;0
"hs_KIDMED_None";"e3_bw";1;1;0
"hs_mvpa_prd_alt_None";"e3_bw";0;0;0
"hs_sd_wk_None";"e3_bw";0;0;0
"hs_dif_hours_total_None";"e3_bw";0;0;0
"hs_as_c_Log2";"e3_bw";1;1;0
"hs_cd_c_Log2";"e3_bw";0;0;0
"hs_co_c_Log2";"e3_bw";0;0;0
"hs_cs_c_Log2";"e3_bw";0;0;0
"hs_cu_c_Log2";"e3_bw";0;0;0
"hs_hg_c_Log2";"e3_bw";1;0;1
"hs_mn_c_Log2";"e3_bw";0;0;0
"hs_mo_c_Log2";"e3_bw";1;0;1
"hs_pb_c_Log2";"e3_bw";0;0;0
"hs_hum_mt_hs_h_None";"e3_bw";0;0;0
"hs_uvdvf_mt_hs_h_None";"e3_bw";0;0;0
"hs_hum_dy_hs_h_None";"e3_bw";0;0;0
"hs_hum_wk_hs_h_None";"e3_bw";0;0;0
"hs_tm_dy_hs_h_None";"e3_bw";0;0;0
"hs_uvdvf_wk_hs_h_None";"e3_bw";0;0;0
"hs_ndvi100_h_None";"e3_bw";0;0;0
"hs_ndvi100_s_None";"e3_bw";0;0;0
"hs_dde_cadj_Log2";"e3_bw";0;0;0
"hs_ddt_cadj_Log2";"e3_bw";0;0;0
"hs_hcb_cadj_Log2";"e3_bw";0;0;0
"hs_pcb118_cadj_Log2";"e3_bw";0;0;0
"hs_pcb153_cadj_Log2";"e3_bw";0;0;0
