"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"hs_no2_dy_hs_h_Log";"e3_bw";9,58594405990971e-05;1e-12;0,00132261578583518;0,0132387637552724;0,0132387637552724;0,0130910408674067;0,0049723486593537;0,00346351235744528;0,0222153954618357;0,00346351235744528;0,0222153954618357;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"hs_no2_wk_hs_h_Log";"e3_bw";9,58594405990971e-05;1e-12;3,04099757429319e-05;0,0158863935404653;0,0158863935404653;0,0164358325416824;0,00516996242793601;0,00557583509431147;0,0244683595546226;0,00557583509431147;0,0244683595546226;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"hs_no2_yr_hs_h_Log";"e3_bw";9,58594405990971e-05;1e-12;8,63326311481434e-05;0,0380965701542385;0,0380965701542385;0,0379897978766117;0,00528452212173438;0,0298988176953302;0,0479063433827116;0,0298988176953302;0,0479063433827116;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"hs_pm10_dy_hs_h_None";"e3_bw";9,58594405990971e-05;1e-12;0,00125294296818221;-0,00299060942878433;-0,00299060942878433;-0,00303883325891107;0,00366591640424523;-0,00912077002366451;0,00345151521283987;-0,00912077002366451;0,00345151521283987;100;1;0,9;TRUE;0,27;0,8;FALSE;FALSE;0,27;0,73;0
"hs_pm10_wk_hs_h_None";"e3_bw";9,58594405990971e-05;1e-12;-0,000152617271224389;-0,00648590939299782;-0,00648590939299782;-0,00676588514982865;0,00409377414599587;-0,0155236908118788;0,00144753185909169;-0,0155236908118788;0,00144753185909169;100;1;0,9;TRUE;0,95;0,8;TRUE;TRUE;0,05;0,95;0
"hs_pm10_yr_hs_h_None";"e3_bw";9,58594405990971e-05;1e-12;0,00037043904756845;-0,00919225673826476;-0,00919225673826476;-0,00937481237129786;0,0044428511510186;-0,018481259551254;-0,000611077638657239;-0,018481259551254;-0,000611077638657239;100;1;0,9;TRUE;0,01;0,8;FALSE;FALSE;0,01;0,99;0
"hs_pm25_dy_hs_h_None";"e3_bw";9,58594405990971e-05;1e-12;-0,000721567405529447;0,00123869287139237;0,00123869287139237;0,000967935865653602;0,00437451307525905;-0,00681559595256149;0,010305326981575;-0,00681559595256149;0,010305326981575;100;1;0,9;TRUE;0,39;0,8;FALSE;FALSE;0,61;0,39;0
"hs_pm25_wk_hs_h_None";"e3_bw";9,58594405990971e-05;1e-12;-0,00107166844136735;-0,0109553903781446;-0,0109553903781446;-0,0106777488653044;0,00484595100218179;-0,0203420136939294;-0,00224014716344041;-0,0203420136939294;-0,00224014716344041;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_pm25_yr_hs_h_None";"e3_bw";9,58594405990971e-05;1e-12;0,000854259893581657;0,0293696108767937;0,0293696108767937;0,0284145900412311;0,00697124329594644;0,0179221725846115;0,0442975473579593;0,0179221725846115;0,0442975473579593;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"hs_pm25abs_dy_hs_h_Log";"e3_bw";9,58594405990971e-05;1e-12;0,00115643290888871;-0,00270777644443338;-0,00270777644443338;-0,00202323401458782;0,00387714224868047;-0,0108683470215894;0,0037531817577922;-0,0108683470215894;0,0037531817577922;100;1;0,9;TRUE;0,23;0,8;FALSE;FALSE;0,23;0,77;0
"hs_pm25abs_wk_hs_h_Log";"e3_bw";9,58594405990971e-05;1e-12;-0,000838165441922522;-0,0107081492018601;-0,0107081492018601;-0,0104067621926008;0,00363595767987053;-0,01767295166228;-0,00443323565604658;-0,01767295166228;-0,00443323565604658;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_pm25abs_yr_hs_h_Log";"e3_bw";9,58594405990971e-05;1e-12;0,000225910803680304;-0,010775293459976;-0,010775293459976;-0,0103155427550005;0,00433548652698226;-0,0195606096539418;-0,00369566455225802;-0,0195606096539418;-0,00369566455225802;100;1;0,9;TRUE;0;0,8;FALSE;FALSE;0;1;0
"hs_accesslines300_h_dic0";"e3_bw";9,58594405990971e-05;1e-12;4,82769109501892e-05;-0,0323630874024723;-0,0323630874024723;-0,0321712301313854;0,0141143676783121;-0,056507301706376;-0,00445300372075304;-0,056507301706376;-0,00445300372075304;100;1;0,9;TRUE;0,02;0,8;FALSE;FALSE;0,02;0,98;0
"hs_accesspoints300_h_Log";"e3_bw";9,58594405990971e-05;1e-12;-0,00251921216635805;0,00054094975840318;0,00054094975840318;0,000711118175395186;0,0041134054624611;-0,00703413951464517;0,00891185420222526;-0,00703413951464517;0,00891185420222526;100;1;0,9;TRUE;0,44;0,8;FALSE;FALSE;0,56;0,44;0
"hs_builtdens300_h_Sqrt";"e3_bw";9,58594405990971e-05;1e-12;-0,000141287434644554;-0,00435454969675783;-0,00435454969675783;-0,0042652141234707;0,00396622002798346;-0,0109276959424864;0,00313440650789884;-0,0109276959424864;0,00313440650789884;100;1;0,9;TRUE;0,88;0,8;TRUE;TRUE;0,12;0,88;0
"hs_connind300_h_Log";"e3_bw";9,58594405990971e-05;1e-12;-0,000351346910475187;0,004756839705539;0,004756839705539;0,00484013563011049;0,00309148867453448;-0,00105897137084258;0,0112286895781104;-0,00105897137084258;0,0112286895781104;100;1;0,9;TRUE;0,06;0,8;FALSE;FALSE;0,94;0,06;0
"hs_fdensity300_h_Log";"e3_bw";9,58594405990971e-05;1e-12;0,00104619400794649;0,015614681364708;0,015614681364708;0,0162413016333396;0,00431220327693814;0,00650903833310076;0,0225209130949609;0,00650903833310076;0,0225209130949609;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"hs_landuseshan300_h_None";"e3_bw";9,58594405990971e-05;1e-12;-0,00132131958560403;0,00316568634659477;0,00316568634659477;0,00314001797230407;0,00313890256636512;-0,00252157111517359;0,00891927564130058;-0,00252157111517359;0,00891927564130058;100;1;0,9;TRUE;0,15;0,8;FALSE;FALSE;0,85;0,15;0
"hs_popdens_h_Sqrt";"e3_bw";9,58594405990971e-05;1e-12;-0,000322628636707097;-0,00827291297939155;-0,00827291297939155;-0,00830596737397219;0,00371430301552812;-0,0161978188322198;-0,00103611564781312;-0,0161978188322198;-0,00103611564781312;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,01;0,99;0
"hs_walkability_mean_h_None";"e3_bw";9,58594405990971e-05;1e-12;0,000177966012717724;-0,00827571434588354;-0,00827571434588354;-0,00830890383323812;0,00320015419206863;-0,0138619569893122;-0,00230293469437948;-0,0138619569893122;-0,00230293469437948;100;1;0,9;TRUE;0,01;0,8;FALSE;FALSE;0,01;0,99;0
"hs_accesslines300_s_dic0";"e3_bw";9,58594405990971e-05;1e-12;-0,000108421942150079;0,00963128949955394;0,00963128949955394;0,00940954721707604;0,0148522139464954;-0,0230619975009798;0,0396842901452388;-0,0230619975009798;0,0396842901452388;100;1;0,9;TRUE;0,25;0,8;FALSE;FALSE;0,75;0,25;0
"hs_accesspoints300_s_Log";"e3_bw";9,58594405990971e-05;1e-12;-0,00098390859887485;0,00834553357113896;0,00834553357113896;0,00829942421688756;0,00396542188834495;0,00287144408047784;0,0161860025325598;0,00287144408047784;0,0161860025325598;100;1;0,9;TRUE;0,02;0,8;FALSE;FALSE;0,98;0,02;0
"hs_builtdens300_s_Sqrt";"e3_bw";9,58594405990971e-05;1e-12;-0,00152984189752868;-0,010175764559328;-0,010175764559328;-0,0103552713226739;0,00377588143597395;-0,0174555857523546;-0,00304355485618827;-0,0174555857523546;-0,00304355485618827;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_connind300_s_Log";"e3_bw";9,58594405990971e-05;1e-12;-0,00230897243594851;0,00387844518731516;0,00387844518731516;0,00360675837876222;0,00350686877784388;-0,00334728604299012;0,0106787914519336;-0,00334728604299012;0,0106787914519336;100;1;0,9;TRUE;0,1;0,8;FALSE;FALSE;0,9;0,1;0
