"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_abs_ratio_preg_Log";"e3_bw";0,000154688532314652;1e-12;0,000157470330086876;-0,00543927688418088;-0,00543927688418088;-0,00562242443114895;0,0038574144129051;-0,012421504294051;0,00273619155644237;-0,012421504294051;0,00273619155644237;100;1;0,9;TRUE;0,06;0,8;FALSE;FALSE;0,06;0,94;0
"h_no2_ratio_preg_Log";"e3_bw";0,000154688532314652;1e-12;-0,000222558132695306;-0,00278354847825571;-0,00278354847825571;-0,00314664436089583;0,00443518674180611;-0,00959234284852025;0,00513670885597197;-0,00959234284852025;0,00513670885597197;100;1;0,9;TRUE;0,79;0,8;FALSE;FALSE;0,21;0,79;0
"h_pm10_ratio_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,000228400455766158;-0,00776961864041506;-0,00776961864041506;-0,00772846288782546;0,00470864198033938;-0,0174357788689636;-6,57266168386812e-05;-0,0174357788689636;-6,57266168386812e-05;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,02;0,98;0
"h_pm25_ratio_preg_None";"e3_bw";0,000154688532314652;1e-12;-7,65875616474068e-05;-0,00115778381684242;-0,00115778381684242;-0,00090281194932659;0,00370890240294862;-0,00853206668892891;0,00573544926418518;-0,00853206668892891;0,00573544926418518;100;1;0,9;TRUE;0,63;0,8;FALSE;FALSE;0,37;0,63;0
"h_accesslines300_preg_dic0";"e3_bw";0,000154688532314652;1e-12;1,86234887304654e-05;0,0151499450142237;0,0151499450142237;0,0155370520943341;0,0129742925814651;-0,00949959773276025;0,0379288442232191;-0,00949959773276025;0,0379288442232191;100;1;0,9;TRUE;0,87;0,8;TRUE;TRUE;0,87;0,13;0
"h_accesspoints300_preg_Log";"e3_bw";0,000154688532314652;1e-12;0,000779655225744811;0,006131774619715;0,006131774619715;0,00591437342930275;0,0041149441523414;-0,000179273416712449;0,0137645763426611;-0,000179273416712449;0,0137645763426611;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,96;0,04;0
"h_builtdens300_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;-0,000219939404002906;-0,0019107312400868;-0,0019107312400868;-0,0024392285410395;0,00306782959277901;-0,00729641194432476;0,00449454852537023;-0,00729641194432476;0,00449454852537023;100;1;0,9;TRUE;0,74;0,8;FALSE;FALSE;0,26;0,74;0
"h_connind300_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;5,85978461404515e-05;0,00340197511009202;0,00340197511009202;0,0032459857339792;0,00344609060535827;-0,00296171682181984;0,00992835328587108;-0,00296171682181984;0,00992835328587108;100;1;0,9;TRUE;0,84;0,8;TRUE;TRUE;0,84;0,16;0
"h_fdensity300_preg_Log";"e3_bw";0,000154688532314652;1e-12;-0,000286932000944425;0,00267812323244422;0,00267812323244422;0,00316840928580344;0,00424247453862188;-0,00571840303443703;0,00992755063584919;-0,00571840303443703;0,00992755063584919;100;1;0,9;TRUE;0,27;0,8;FALSE;FALSE;0,73;0,27;0
"h_frichness300_preg_None";"e3_bw";0,000154688532314652;1e-12;0,000782878934232876;0,00832136561186361;0,00832136561186361;0,00800689374723372;0,00358027744224196;0,00106877815702095;0,0155096376250484;0,00106877815702095;0,0155096376250484;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,99;0,01;0
"h_landuseshan300_preg_None";"e3_bw";0,000154688532314652;1e-12;0,000713990010404082;0,0057472619801809;0,0057472619801809;0,00591265278313871;0,00279751303445936;3,59004787546716e-05;0,0107142038726998;3,59004787546716e-05;0,0107142038726998;100;1;0,9;TRUE;0,97;0,8;TRUE;TRUE;0,97;0,03;0
"h_popdens_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;-2,89381021550067e-05;0,00495147314765778;0,00495147314765778;0,00491570948462587;0,00323131212884735;-0,000953036216375688;0,0117831594534073;-0,000953036216375688;0,0117831594534073;100;1;0,9;TRUE;0,05;0,8;FALSE;FALSE;0,95;0,05;0
"h_walkability_mean_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,000354546049508239;-0,00821045626364497;-0,00821045626364497;-0,00795670137426938;0,00346652514856257;-0,0142646200565007;-0,00150444477580799;-0,0142646200565007;-0,00150444477580799;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_as_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00111856499604503;0,00327096250759338;0,00327096250759338;0,00320764411095729;0,00284728369774071;-0,00171696783941629;0,0091410100332169;-0,00171696783941629;0,0091410100332169;100;1;0,9;TRUE;0,15;0,8;FALSE;FALSE;0,85;0,15;0
"hs_cd_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000417116397141602;0,000853048689051506;0,000853048689051506;0,000595764537263705;0,00276125065233645;-0,00452932121866059;0,00550823785092655;-0,00452932121866059;0,00550823785092655;100;1;0,9;TRUE;0,39;0,8;FALSE;FALSE;0,61;0,39;0
"hs_co_m_Log2";"e3_bw";0,000154688532314652;1e-12;0,00129040834789899;0,00247387347639273;0,00247387347639273;0,00244990006110797;0,00295599647867805;-0,00282311419022383;0,00834223254699823;-0,00282311419022383;0,00834223254699823;100;1;0,9;TRUE;0,77;0,8;FALSE;FALSE;0,77;0,23;0
"hs_cs_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00257434737759885;-0,00739255772198308;-0,00739255772198308;-0,0071460322062567;0,00321934045090483;-0,0139090166358742;-0,00148708044437975;-0,0139090166358742;-0,00148708044437975;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_cu_m_Log2";"e3_bw";0,000154688532314652;1e-12;0,000942025413091895;-0,00296791876751503;-0,00296791876751503;-0,00307335787836309;0,00256213831729642;-0,00799115824305992;0,00127588663696721;-0,00799115824305992;0,00127588663696721;100;1;0,9;TRUE;0,12;0,8;FALSE;FALSE;0,12;0,88;0
"hs_hg_m_Log2";"e3_bw";0,000154688532314652;1e-12;8,54824733676283e-05;-0,00155749095153747;-0,00155749095153747;-0,00095385547630188;0,00355699187474566;-0,00921344699531083;0,00403721641237275;-0,00921344699531083;0,00403721641237275;100;1;0,9;TRUE;0,36;0,8;FALSE;FALSE;0,36;0,64;0
"hs_mn_m_Log2";"e3_bw";0,000154688532314652;1e-12;0,00209680188434352;-0,000693068945626423;-0,000693068945626423;-0,000932082818653053;0,00262242487754432;-0,00494205997144054;0,00521400608506481;-0,00494205997144054;0,00521400608506481;100;1;0,9;TRUE;0,34;0,8;FALSE;FALSE;0,34;0,66;0
"hs_mo_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000109040136470804;-0,00113879178015404;-0,00113879178015404;-0,00126584959331711;0,00233086228361425;-0,00604105286189165;0,003328955549614;-0,00604105286189165;0,003328955549614;100;1;0,9;TRUE;0,67;0,8;FALSE;FALSE;0,33;0,67;0
"hs_pb_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000603277805812142;-0,0018259071335155;-0,0018259071335155;-0,00196922510934097;0,00260193258546485;-0,00670961477871145;0,00247015312628661;-0,00670961477871145;0,00247015312628661;100;1;0,9;TRUE;0,72;0,8;FALSE;FALSE;0,28;0,72;0
"h_humidity_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,000132601330514098;0,0295953513747878;0,0295953513747878;0,0292081415259458;0,00478609877556122;0,0206478035362276;0,0384497558011667;0,0206478035362276;0,0384497558011667;100;1;0,9;TRUE;0;0,8;FALSE;FALSE;1;0;0
"h_pressure_preg_None";"e3_bw";0,000154688532314652;1e-12;-6,31232389535538e-05;-0,0253129391664812;-0,0253129391664812;-0,0247499527292545;0,00498832369549824;-0,035199273974651;-0,017420493019171;-0,035199273974651;-0,017420493019171;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_temperature_preg_None";"e3_bw";0,000154688532314652;1e-12;0,000829098305836118;0,00604024688610509;0,00604024688610509;0,00643210690208468;0,00350100279750542;-0,000822097681573555;0,0122629280711886;-0,000822097681573555;0,0122629280711886;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,96;0,04;0
"h_ndvi100_preg_None";"e3_bw";0,000154688532314652;1e-12;9,61321391873449e-05;0,00521077063441864;0,00521077063441864;0,00520967821318861;0,00387458646869555;-0,00347365784771623;0,0113394221723094;-0,00347365784771623;0,0113394221723094;100;1;0,9;TRUE;0,89;0,8;TRUE;TRUE;0,89;0,11;0
"hs_dde_madj_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00251908210956145;-0,00563570806431742;-0,00563570806431742;-0,0057746774207716;0,00286573515073679;-0,0109844450582528;0,000427102357840232;-0,0109844450582528;0,000427102357840232;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,04;0,96;0
"hs_ddt_madj_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000328969798910557;-0,0020189259381733;-0,0020189259381733;-0,00212779305578535;0,00269852721215613;-0,00669347806955258;0,00314530456329615;-0,00669347806955258;0,00314530456329615;100;1;0,9;TRUE;0,79;0,8;FALSE;FALSE;0,21;0,79;0
"hs_hcb_madj_Log2";"e3_bw";0,000154688532314652;1e-12;0,000482646140798899;-0,000757091697368913;-0,000757091697368913;-0,000940105241773318;0,00291217106570012;-0,00630619921027577;0,00542801890216054;-0,00630619921027577;0,00542801890216054;100;1;0,9;TRUE;0,36;0,8;FALSE;FALSE;0,36;0,64;0
"hs_pcb118_madj_Log2";"e3_bw";0,000154688532314652;1e-12;5,69381596026683e-05;0,000677661870629436;0,000677661870629436;0,000649189801824934;0,00424700410452188;-0,0084426997928708;0,00884302120391541;-0,0084426997928708;0,00884302120391541;100;1;0,9;TRUE;0,58;0,8;FALSE;FALSE;0,58;0,42;0
"hs_pcb138_madj_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000606698042156513;-0,00366466071747198;-0,00366466071747198;-0,00364121836120929;0,00324498716252662;-0,00959149019130488;0,00217763079644504;-0,00959149019130488;0,00217763079644504;100;1;0,9;TRUE;0,85;0,8;TRUE;TRUE;0,15;0,85;0
"hs_pcb153_madj_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000213931109412768;-0,00606345088569139;-0,00606345088569139;-0,00611027856080467;0,00413904542449518;-0,0140919160854424;0,00143465545648803;-0,0140919160854424;0,00143465545648803;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,04;0,96;0
