"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"hs_no2_dy_hs_h_Log";"e3_bw";0,18953694118342;1e-12;-0,0212644611520859;-0,00391590115640414;-0,00407906370458765;-0,00973862224166549;0,0263992133601509;-0,0396532363065436;0,0668242154160775;-0,04004673932635;0,068291385242026;96;0,96;0,9;TRUE;0,729166666666667;0,8;FALSE;FALSE;0,26;0,7;0,04
"hs_no2_wk_hs_h_Log";"e3_bw";0,18953694118342;1e-12;0;-0,00518584012700677;-0,00774005989105488;-0,00399036677470441;0,0108961367793667;-0,0347165329063128;0,00800011666708621;-0,0362448334759167;0,00918295567853992;67;0,67;0,9;FALSE;NA;0,8;FALSE;FALSE;0,17;0,5;0,33
"hs_no2_yr_hs_h_Log";"e3_bw";0,18953694118342;1e-12;-0,0129194954476388;-0,0175506885294353;-0,0186709452440801;-0,0143952718247432;0,0226628830895871;-0,088238805201312;0,00910476593793826;-0,0896371046141974;0,00914810362367151;94;0,94;0,9;TRUE;0,808510638297872;0,8;TRUE;TRUE;0,18;0,76;0,06
"hs_pm10_dy_hs_h_None";"e3_bw";0,18953694118342;1e-12;0,00275008670055738;0,00605437670995281;0,00624162547417816;0,00535090828556306;0,0186908814941098;-0,0240449558433246;0,0571021834810416;-0,0241903167225547;0,0573154951836275;97;0,97;0,9;TRUE;0,608247422680412;0,8;FALSE;FALSE;0,59;0,38;0,03
"hs_pm10_wk_hs_h_None";"e3_bw";0,18953694118342;1e-12;0,00733388754998299;-0,00342129549109408;-0,00342129549109408;-0,00199405618485642;0,0211053306514541;-0,0489072200362243;0,031194796102439;-0,0489072200362243;0,031194796102439;100;1;0,9;TRUE;0,46;0,8;FALSE;FALSE;0,46;0,54;0
"hs_pm10_yr_hs_h_None";"e3_bw";0,18953694118342;1e-12;0,00399846299852635;0,0183024957918542;0,0234647381946849;0,0135678165532284;0,0300249501812652;-0,00637605594160931;0,0974260330271192;-0,00763937616569378;0,105224778003449;78;0,78;0,9;FALSE;0,884615384615385;0,8;TRUE;FALSE;0,69;0,09;0,22
"hs_pm25_dy_hs_h_None";"e3_bw";0,18953694118342;1e-12;-0,00557753857117414;-0,00571814473224466;-0,0057759037699441;-0,00446050648556471;0,020149669362729;-0,0500003909764755;0,0312816663884303;-0,0500197069939499;0,0313316547621334;99;0,99;0,9;TRUE;0,606060606060606;0,8;FALSE;FALSE;0,39;0,6;0,01
"hs_pm25_wk_hs_h_None";"e3_bw";0,18953694118342;1e-12;-0,000630790941213306;0,00379761192088856;0,00446777873045712;0,00188846379582119;0,0168617512485909;-0,025959863665798;0,0421654940858014;-0,0286055173365783;0,0429462654099092;85;0,85;0,9;FALSE;0,470588235294118;0,8;FALSE;FALSE;0,45;0,4;0,15
"hs_pm25_yr_hs_h_None";"e3_bw";0,18953694118342;1e-12;-0,000468142072858678;-0,00328616428165936;-0,00331935786026198;-0,00871195512536929;0,0433809875948247;-0,0750879599529391;0,102170643171616;-0,0750900261398048;0,102462091197097;99;0,99;0,9;TRUE;0,565656565656566;0,8;FALSE;FALSE;0,43;0,56;0,01
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0,18953694118342;1e-12;0,021171114276006;0,020466951261752;0,020466951261752;0,0204993896029084;0,0180164813237887;-0,0148040179055238;0,0578531560818941;-0,0148040179055238;0,0578531560818941;100;1;0,9;TRUE;0,9;0,8;TRUE;TRUE;0,9;0,1;0
"hs_pm25abs_wk_hs_h_Log";"e3_bw";0,18953694118342;1e-12;0;-0,00481095105889373;-0,00534550117654859;-0,00461413730669818;0,0100013809317115;-0,0257462119801777;0,0166316772167401;-0,0271460043683259;0,0171419903558349;90;0,9;0,9;TRUE;NA;0,8;FALSE;FALSE;0,22;0,68;0,1
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0,18953694118342;1e-12;0,00202200569150811;0,00152310049755277;0,00160326368163449;0,00227044408678281;0,0171963267534765;-0,0252327527349342;0,0326226802704324;-0,0253713650917827;0,0331444271081045;95;0,95;0,9;TRUE;0,6;0,8;FALSE;FALSE;0,57;0,38;0,05
"hs_accesslines300_h_dic0";"e3_bw";0,18953694118342;1e-12;0,043670788389365;0,0799338000058026;0,0799338000058026;0,0634303030256669;0,1437657759155;-0,147027213672088;0,375298387795888;-0,147027213672088;0,375298387795888;100;1;0,9;TRUE;0,71;0,8;FALSE;FALSE;0,71;0,29;0
"hs_accesspoints300_h_Log";"e3_bw";0,18953694118342;1e-12;-0,0252480832474152;-0,025114689136038;-0,025114689136038;-0,0219624925900318;0,0257124647034316;-0,0851909179040345;0,0145843240747056;-0,0851909179040345;0,0145843240747056;100;1;0,9;TRUE;0,87;0,8;TRUE;TRUE;0,13;0,87;0
"hs_builtdens300_h_Sqrt";"e3_bw";0,18953694118342;1e-12;0,000440719227314526;0,00628873603743421;0,00838498138324561;0,00408038322087589;0,0124382839992123;-0,0101105817060186;0,0361644065388166;-0,0102243988054235;0,0370365533778138;75;0,75;0,9;FALSE;0,746666666666667;0,8;FALSE;FALSE;0,56;0,19;0,25
"hs_connind300_h_Log";"e3_bw";0,18953694118342;1e-12;-0,00392689233110052;-0,00343932326273815;-0,00382147029193128;-0,00300211791236699;0,0129329485159858;-0,0296958813422882;0,0264230111495634;-0,0304669577518374;0,0266415190574024;90;0,9;0,9;TRUE;0,7;0,8;FALSE;FALSE;0,27;0,63;0,1
"hs_fdensity300_h_Log";"e3_bw";0,18953694118342;1e-12;0,00916089087443859;0,0121128545901978;0,0127503732528398;0,0120693350735874;0,0170294934557993;-0,0181163339130804;0,044320227694152;-0,0186767075622417;0,044414989553984;95;0,95;0,9;TRUE;0,726315789473684;0,8;FALSE;FALSE;0,69;0,26;0,05
"hs_landuseshan300_h_None";"e3_bw";0,18953694118342;1e-12;0,00809299099021609;0,00206377208041147;0,00210588987797089;0,00221412239542644;0,012918933236383;-0,0246984628176943;0,027415721711934;-0,0247356259962163;0,0274224825418136;98;0,98;0,9;TRUE;0,642857142857143;0,8;FALSE;FALSE;0,63;0,35;0,02
"hs_popdens_h_Sqrt";"e3_bw";0,18953694118342;1e-12;-0,00912433160564071;-0,0111903843289906;-0,0114187595193781;-0,00805336574279656;0,0179116566254512;-0,0528381573726679;0,0177739771541864;-0,0529572926638298;0,0178488344065632;98;0,98;0,9;TRUE;0,755102040816326;0,8;FALSE;FALSE;0,24;0,74;0,02
"hs_walkability_mean_h_None";"e3_bw";0,18953694118342;1e-12;0,00509119656798736;-0,00209125445143291;-0,00227310266460099;-0,00185997581231361;0,0129875563668869;-0,0272783841018431;0,0294497975033724;-0,027783258181475;0,0303956224028967;92;0,92;0,9;TRUE;0,402173913043478;0,8;FALSE;FALSE;0,37;0,55;0,08
