"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_abs_ratio_preg_Log";"e3_bw";0,000154688532314652;1e-12;-0,00659378908062865;-0,00676277863174752;-0,00676277863174752;-0,00664931311977922;0,00488716456393367;-0,0154981858895599;0,00236421898899775;-0,0154981858895599;0,00236421898899775;100;1;0,9;TRUE;0,91;0,8;TRUE;TRUE;0,09;0,91;0
"h_no2_ratio_preg_Log";"e3_bw";0,000154688532314652;1e-12;-0,00315112020627175;-0,00626857534148896;-0,00626857534148896;-0,00609428931853448;0,00415371925616196;-0,01370636533238;0,00148926983465634;-0,01370636533238;0,00148926983465634;100;1;0,9;TRUE;0,9;0,8;TRUE;TRUE;0,1;0,9;0
"h_pm10_ratio_preg_None";"e3_bw";0,000154688532314652;1e-12;0,00270429343461325;0,00274186824308892;0,00274186824308892;0,00281162391889941;0,00459298475299813;-0,00628044478391813;0,010419969402371;-0,00628044478391813;0,010419969402371;100;1;0,9;TRUE;0,72;0,8;FALSE;FALSE;0,72;0,28;0
"h_pm25_ratio_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,00128730128564342;-0,00214957695402907;-0,00214957695402907;-0,00246226641789758;0,00421035672242599;-0,0093828821035539;0,00534589173473863;-0,0093828821035539;0,00534589173473863;100;1;0,9;TRUE;0,69;0,8;FALSE;FALSE;0,31;0,69;0
"h_accesslines300_preg_dic0";"e3_bw";0,000154688532314652;1e-12;0,0102164011942674;0,0134627100135085;0,0134627100135085;0,0149164599003074;0,0133790875758605;-0,0171094366278386;0,035708005810443;-0,0171094366278386;0,035708005810443;100;1;0,9;TRUE;0,86;0,8;TRUE;TRUE;0,86;0,14;0
"h_accesspoints300_preg_Log";"e3_bw";0,000154688532314652;1e-12;0,00476632827420943;0,0051708425972934;0,0051708425972934;0,00546333610740971;0,00346949690039185;-0,002032557767454;0,0120870536751038;-0,002032557767454;0,0120870536751038;100;1;0,9;TRUE;0,95;0,8;TRUE;TRUE;0,95;0,05;0
"h_builtdens300_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;0,00167205301200964;0,000212478361742978;0,000212478361742978;0,000731886542812886;0,00418881979994092;-0,0079332357675792;0,0072639764296631;-0,0079332357675792;0,0072639764296631;100;1;0,9;TRUE;0,55;0,8;FALSE;FALSE;0,55;0,45;0
"h_connind300_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;0,000754296970266423;0,00160059268285715;0,00160059268285715;0,00170808641364616;0,00412642042824807;-0,00776147255580574;0,00920284922896538;-0,00776147255580574;0,00920284922896538;100;1;0,9;TRUE;0,66;0,8;FALSE;FALSE;0,66;0,34;0
"h_fdensity300_preg_Log";"e3_bw";0,000154688532314652;1e-12;0,000516601361261138;5,70824169274271e-05;5,70824169274271e-05;0,000222092865966829;0,00376569216193595;-0,00763475384237411;0,00726934768674372;-0,00763475384237411;0,00726934768674372;100;1;0,9;TRUE;0,51;0,8;FALSE;FALSE;0,51;0,49;0
"h_frichness300_preg_None";"e3_bw";0,000154688532314652;1e-12;0,0076865315778633;0,00783767272209538;0,00783767272209538;0,00727382742273864;0,00324339437902904;0,00264611016476672;0,013682101271654;0,00264611016476672;0,013682101271654;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"h_landuseshan300_preg_None";"e3_bw";0,000154688532314652;1e-12;0,00719734559369349;0,00704185303824041;0,00704185303824041;0,0076381006345323;0,00348710654467816;0,000865982624306063;0,0125576235625338;0,000865982624306063;0,0125576235625338;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,99;0,01;0
"h_popdens_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;0,00371384102765043;0,00520243417395862;0,00520243417395862;0,00543938260084307;0,00393281758653368;-0,00262366827997142;0,0125685948196009;-0,00262366827997142;0,0125685948196009;100;1;0,9;TRUE;0,9;0,8;TRUE;TRUE;0,9;0,1;0
"h_walkability_mean_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,00785655223882696;-0,00841588657654193;-0,00841588657654193;-0,00819039831064452;0,00378618928008229;-0,0151404363750729;-0,00044137105388411;-0,0151404363750729;-0,00044137105388411;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,02;0,98;0
"hs_as_m_Log2";"e3_bw";0,000154688532314652;1e-12;0,00442990230683314;0,00465968584273879;0,00465968584273879;0,00490077225104949;0,00359229035213936;-0,00181819722116173;0,01216247705966;-0,00181819722116173;0,01216247705966;100;1;0,9;TRUE;0,9;0,8;TRUE;TRUE;0,9;0,1;0
"hs_cd_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000651816124701719;4,07011013140995e-05;4,07011013140995e-05;2,70875562265899e-05;0,00274158122366177;-0,00544874208013837;0,00528061275258431;-0,00544874208013837;0,00528061275258431;100;1;0,9;TRUE;0,48;0,8;FALSE;FALSE;0,52;0,48;0
"hs_co_m_Log2";"e3_bw";0,000154688532314652;1e-12;0,000664573736335007;0,000667603260606365;0,000667603260606365;0,000848005349357389;0,00325540012169382;-0,00658082818209423;0,00630510201562932;-0,00658082818209423;0,00630510201562932;100;1;0,9;TRUE;0,6;0,8;FALSE;FALSE;0,6;0,4;0
"hs_cs_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00793174431904637;-0,00899485205993784;-0,00899485205993784;-0,0089664583744089;0,00335458304781891;-0,0148402008200969;-0,00313778936353588;-0,0148402008200969;-0,00313778936353588;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,01;0,99;0
"hs_cu_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00168634663239398;-0,00156438678221047;-0,00156438678221047;-0,00146511155362371;0,00358003872026533;-0,00831955784430248;0,00494424353804606;-0,00831955784430248;0,00494424353804606;100;1;0,9;TRUE;0,62;0,8;FALSE;FALSE;0,38;0,62;0
"hs_hg_m_Log2";"e3_bw";0,000154688532314652;1e-12;0,00265518741139788;0,00328968298905953;0,00328968298905953;0,0033515757828326;0,00353989747801894;-0,00413585612039821;0,00906438878564415;-0,00413585612039821;0,00906438878564415;100;1;0,9;TRUE;0,81;0,8;TRUE;TRUE;0,81;0,19;0
"hs_mn_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000698626963979635;-0,000660683510407239;-0,000660683510407239;-0,000612583476063078;0,00306766224696446;-0,00653553220545363;0,00465268542977211;-0,00653553220545363;0,00465268542977211;100;1;0,9;TRUE;0,56;0,8;FALSE;FALSE;0,44;0,56;0
"hs_mo_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,0020406002339458;-0,00175964504476284;-0,00175964504476284;-0,00168825592537861;0,00245782108605857;-0,00652527332324932;0,0031449733846114;-0,00652527332324932;0,0031449733846114;100;1;0,9;TRUE;0,76;0,8;FALSE;FALSE;0,24;0,76;0
"hs_pb_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000266286923090505;-0,000874541397050029;-0,000874541397050029;-0,000857282508403536;0,00298708250058836;-0,00648224243619687;0,0045923339534551;-0,00648224243619687;0,0045923339534551;100;1;0,9;TRUE;0,64;0,8;FALSE;FALSE;0,36;0,64;0
