"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_abs_ratio_preg_Log";"e3_bw";0,000121507529397887;1e-12;-0,00724306560958201;-0,00558019683461222;-0,00558019683461222;-0,00568249894579956;0,00462575813514873;-0,013633837103398;0,00461954883344307;-0,013633837103398;0,00461954883344307;100;1;0,9;TRUE;0,89;0,8;TRUE;TRUE;0,11;0,89;0
"h_no2_ratio_preg_Log";"e3_bw";0,000121507529397887;1e-12;0,00429821694784754;0,00279664493144867;0,00279664493144867;0,00261083321524834;0,00437787348572904;-0,00402820248639434;0,0119552922707197;-0,00402820248639434;0,0119552922707197;100;1;0,9;TRUE;0,74;0,8;FALSE;FALSE;0,74;0,26;0
"h_pm10_ratio_preg_None";"e3_bw";0,000121507529397887;1e-12;-0,0119705858932296;-0,0131633922621086;-0,0131633922621086;-0,0126402347111646;0,00548576141325632;-0,0244112017705099;-0,00299898524462863;-0,0244112017705099;-0,00299898524462863;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_pm25_ratio_preg_None";"e3_bw";0,000121507529397887;1e-12;-0,00317234689498964;-0,00451328395670506;-0,00451328395670506;-0,0047525914725329;0,00397321967446059;-0,0123164690173007;0,00306388916477632;-0,0123164690173007;0,00306388916477632;100;1;0,9;TRUE;0,87;0,8;TRUE;TRUE;0,13;0,87;0
"h_accesslines300_preg_dic0";"e3_bw";0,000121507529397887;1e-12;0,0279390062706769;0,0302239491222546;0,0302239491222546;0,0293491995045423;0,0164955362074887;0,000333972084064775;0,0629659197588806;0,000333972084064775;0,0629659197588806;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,98;0,02;0
"h_accesspoints300_preg_Log";"e3_bw";0,000121507529397887;1e-12;0,00310538243107568;0,00627974053023754;0,00627974053023754;0,00674851487117624;0,00375120890367374;-0,00100004623298663;0,0132980326614754;-0,00100004623298663;0,0132980326614754;100;1;0,9;TRUE;0,95;0,8;TRUE;TRUE;0,95;0,05;0
"h_builtdens300_preg_Sqrt";"e3_bw";0,000121507529397887;1e-12;0,00136702974786386;-0,000792730762138386;-0,000792730762138386;-0,000597341032186695;0,00433189383997238;-0,00912287378683212;0,00670618691477133;-0,00912287378683212;0,00670618691477133;100;1;0,9;TRUE;0,44;0,8;FALSE;FALSE;0,44;0,56;0
"h_connind300_preg_Sqrt";"e3_bw";0,000121507529397887;1e-12;0,00306586797845479;0,00432349389221523;0,00432349389221523;0,00491043779363986;0,00435629197126291;-0,00493364862121007;0,0124552612797671;-0,00493364862121007;0,0124552612797671;100;1;0,9;TRUE;0,82;0,8;TRUE;TRUE;0,82;0,18;0
"h_fdensity300_preg_Log";"e3_bw";0,000121507529397887;1e-12;0,00979937169052935;0,00947452699219035;0,00947452699219035;0,00894327356130126;0,00531024239843207;-0,00052851332917375;0,0193415906221828;-0,00052851332917375;0,0193415906221828;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,96;0,04;0
"h_frichness300_preg_None";"e3_bw";0,000121507529397887;1e-12;0,0137276660744484;0,0126505270354882;0,0126505270354882;0,0129995684401006;0,00396245429148458;0,00528954391519278;0,0197155971964507;0,00528954391519278;0,0197155971964507;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
