"scenario";"exposure";"outcome";"original_beta";"n_loco_fits";"n_selected";"selection_frequency";"n_positive";"n_negative";"dominant_direction";"dominant_sign_consistency";"original_sign_consistency"
"Childhood";"hs_no2_dy_hs_h_Log";"e3_bw";-0,0126551478404656;6;2;0,333333333333333;1;1;"Tie";0,5;0,5
"Childhood";"hs_no2_wk_hs_h_Log";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_no2_yr_hs_h_Log";"e3_bw";0,0015621092908138;6;1;0,166666666666667;0;1;"Negative";1;0
"Childhood";"hs_pm10_dy_hs_h_None";"e3_bw";0,00558516511358531;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pm10_wk_hs_h_None";"e3_bw";0,0161936997348854;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pm10_yr_hs_h_None";"e3_bw";0,00744260320140951;6;1;0,166666666666667;1;0;"Positive";1;1
"Childhood";"hs_pm25_dy_hs_h_None";"e3_bw";-0,00871527635813752;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pm25_wk_hs_h_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pm25_yr_hs_h_None";"e3_bw";0,0236645373153836;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pm25abs_dy_hs_h_Log";"e3_bw";0,0192714608466045;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"hs_pm25abs_wk_hs_h_Log";"e3_bw";-0,00474365554502664;6;4;0,666666666666667;0;4;"Negative";1;1
"Childhood";"hs_pm25abs_yr_hs_h_Log";"e3_bw";0,0145232216809576;6;1;0,166666666666667;0;1;"Negative";1;0
"Childhood";"hs_accesslines300_h_dic0";"e3_bw";0,00638789749365479;6;2;0,333333333333333;2;0;"Positive";1;1
"Childhood";"hs_accesspoints300_h_Log";"e3_bw";-0,0195601345786731;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_builtdens300_h_Sqrt";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_connind300_h_Log";"e3_bw";-0,00571023712576954;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"hs_fdensity300_h_Log";"e3_bw";0,0179038380806913;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"hs_landuseshan300_h_None";"e3_bw";0,00718190885660278;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_popdens_h_Sqrt";"e3_bw";0,00119031294705876;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_walkability_mean_h_None";"e3_bw";0,0038293977559213;6;1;0,166666666666667;1;0;"Positive";1;1
"Childhood";"hs_accesslines300_s_dic0";"e3_bw";-0,0611555230284997;6;3;0,5;0;3;"Negative";1;1
"Childhood";"hs_accesspoints300_s_Log";"e3_bw";-0,0212584827342969;6;5;0,833333333333333;0;5;"Negative";1;1
"Childhood";"hs_builtdens300_s_Sqrt";"e3_bw";-0,00319432260453774;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_connind300_s_Log";"e3_bw";-0,00751066838349154;6;2;0,333333333333333;0;2;"Negative";1;1
"Childhood";"hs_fdensity300_s_Log";"e3_bw";-0,00778572594837858;6;4;0,666666666666667;0;4;"Negative";1;1
"Childhood";"hs_landuseshan300_s_None";"e3_bw";-0,00567540092463391;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_popdens_s_Sqrt";"e3_bw";0,00106741390902525;6;3;0,5;3;0;"Positive";1;1
"Childhood";"h_Absorbance_Log";"e3_bw";0,00843419875073937;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"h_Benzene_Log";"e3_bw";-0,0378781650506563;6;6;1;0;6;"Negative";1;1
"Childhood";"h_NO2_Log";"e3_bw";0,00599109058314272;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"h_PM_Log";"e3_bw";-0,0176011914113197;6;6;1;0;6;"Negative";1;1
"Childhood";"h_TEX_Log";"e3_bw";0,00866787574341276;6;1;0,166666666666667;1;0;"Positive";1;1
"Childhood";"hs_KIDMED_None";"e3_bw";0,0261765382605729;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"hs_mvpa_prd_alt_None";"e3_bw";0,000437487435785067;6;3;0,5;0;3;"Negative";1;0
"Childhood";"hs_sd_wk_None";"e3_bw";-0,0146319998778532;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_dif_hours_total_None";"e3_bw";0,00581167462952011;6;4;0,666666666666667;0;4;"Negative";1;0
"Childhood";"hs_as_c_Log2";"e3_bw";0,0114488682547635;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"hs_cd_c_Log2";"e3_bw";-0,00177122825676262;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_co_c_Log2";"e3_bw";0,00902600396935561;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_cs_c_Log2";"e3_bw";0,00706978444444156;6;2;0,333333333333333;2;0;"Positive";1;1
"Childhood";"hs_cu_c_Log2";"e3_bw";-0,00465242023653863;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_hg_c_Log2";"e3_bw";-0,00538044017901172;6;5;0,833333333333333;0;5;"Negative";1;1
"Childhood";"hs_mn_c_Log2";"e3_bw";-0,0130505403411339;6;5;0,833333333333333;0;5;"Negative";1;1
"Childhood";"hs_mo_c_Log2";"e3_bw";-0,0157847093690265;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_pb_c_Log2";"e3_bw";-0,0113436673182723;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"hs_hum_mt_hs_h_None";"e3_bw";0,00764510750053903;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"hs_tm_mt_hs_h_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_uvdvf_mt_hs_h_None";"e3_bw";0,00257258633083023;6;1;0,166666666666667;1;0;"Positive";1;1
"Childhood";"hs_hum_dy_hs_h_None";"e3_bw";0,0120434845060143;6;1;0,166666666666667;0;1;"Negative";1;0
"Childhood";"hs_hum_wk_hs_h_None";"e3_bw";-0,000569198606854368;6;2;0,333333333333333;0;2;"Negative";1;1
"Childhood";"hs_tm_dy_hs_h_None";"e3_bw";0,00476461231040676;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_tm_wk_hs_h_None";"e3_bw";0;6;1;0,166666666666667;0;1;"Negative";1;NA
"Childhood";"hs_uvdvf_dy_hs_h_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_uvdvf_wk_hs_h_None";"e3_bw";-0,00686527704414657;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_ndvi100_h_None";"e3_bw";0,0130092641489008;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_ndvi100_s_None";"e3_bw";-0,0038012912063102;6;2;0,333333333333333;0;2;"Negative";1;1
"Childhood";"hs_dde_cadj_Log2";"e3_bw";-0,00246541656901737;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_ddt_cadj_Log2";"e3_bw";0,00132747216230503;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_hcb_cadj_Log2";"e3_bw";-0,0288791672220614;6;5;0,833333333333333;0;5;"Negative";1;1
"Childhood";"hs_pcb118_cadj_Log2";"e3_bw";-0,0110582549197293;6;4;0,666666666666667;0;4;"Negative";1;1
"Childhood";"hs_pcb138_cadj_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pcb153_cadj_Log2";"e3_bw";-0,0107434137702457;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pcb170_cadj_Log2";"e3_bw";-0,00013943233662565;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pcb180_cadj_Log2";"e3_bw";0,0275903778043476;6;3;0,5;3;0;"Positive";1;1
"Childhood";"hs_sumPCBs5_cadj_Log2";"e3_bw";0,000464592457583959;6;3;0,5;3;0;"Positive";1;1
"Childhood";"hs_pfhxs_c_Log2";"e3_bw";0,00447561769616785;6;5;0,833333333333333;5;0;"Positive";1;1
"Childhood";"hs_pfna_c_Log2";"e3_bw";-0,0050439773070503;6;2;0,333333333333333;1;1;"Tie";0,5;0,5
"Childhood";"hs_pfoa_c_Log2";"e3_bw";0,00980831268264795;6;3;0,5;3;0;"Positive";1;1
"Childhood";"hs_pfos_c_Log2";"e3_bw";0,0134303824538097;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_pfunda_c_Log2";"e3_bw";0,000446316337943118;6;0;0;0;0;"Not selected";NA;NA
"Childhood";"hs_hm_pers_None";"e3_bw";-0,00124036594326459;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"hs_trafload_h_pow1over3";"e3_bw";-0,00218739473420746;6;2;0,333333333333333;0;2;"Negative";1;1
"Childhood";"hs_trafnear_h_pow1over3";"e3_bw";-0,0044397686203901;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"FAS_cat_None_Low";"e3_bw";-0,0636570339854705;6;6;1;0;6;"Negative";1;1
"Childhood";"FAS_cat_None_Middle";"e3_bw";-0,0207687743631662;6;2;0,333333333333333;0;2;"Negative";1;1
"Childhood";"hs_globalexp2_None_no exposure";"e3_bw";-0,00170781102786593;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"hs_no2_dy_hs_h_Log";"hs_asthma";-0,0213670156996263;6;5;0,833333333333333;0;5;"Negative";1;1
"Childhood";"hs_no2_wk_hs_h_Log";"hs_asthma";0;6;1;0,166666666666667;1;0;"Positive";1;NA
"Childhood";"hs_no2_yr_hs_h_Log";"hs_asthma";-0,00690595232818252;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
"Childhood";"hs_pm10_dy_hs_h_None";"hs_asthma";-0,0200374596192631;6;3;0,5;1;2;"Negative";0,666666666666667;0,666666666666667
"Childhood";"hs_pm10_wk_hs_h_None";"hs_asthma";-0,0199598310781602;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"hs_pm10_yr_hs_h_None";"hs_asthma";-0,00659973240803909;6;1;0,166666666666667;0;1;"Negative";1;1
"Childhood";"hs_pm25_dy_hs_h_None";"hs_asthma";-0,032666139172681;6;6;1;0;6;"Negative";1;1
