"scenario";"exposure";"outcome";"original_beta";"n_loco_fits";"n_selected";"selection_frequency";"n_positive";"n_negative";"dominant_direction";"dominant_sign_consistency";"original_sign_consistency"
"Pregnancy";"h_abs_ratio_preg_Log";"e3_bw";1,04479630177227e-05;6;6;1;0;6;"Negative";1;0
"Pregnancy";"h_no2_ratio_preg_Log";"e3_bw";-6,04465560600265e-05;6;2;0,333333333333333;1;1;"Tie";0,5;0,5
"Pregnancy";"h_pm10_ratio_preg_None";"e3_bw";-7,05148187897228e-05;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
"Pregnancy";"h_pm25_ratio_preg_None";"e3_bw";-3,13477089171744e-05;6;6;1;2;4;"Negative";0,666666666666667;0,666666666666667
"Pregnancy";"h_accesslines300_preg_dic0";"e3_bw";6,00712111190953e-06;6;6;1;6;0;"Positive";1;1
"Pregnancy";"h_accesspoints300_preg_Log";"e3_bw";0,000128535609597985;6;5;0,833333333333333;5;0;"Positive";1;1
"Pregnancy";"h_builtdens300_preg_Sqrt";"e3_bw";-4,31624433068697e-05;6;1;0,166666666666667;1;0;"Positive";1;0
"Pregnancy";"h_connind300_preg_Sqrt";"e3_bw";1,74504387225887e-05;6;4;0,666666666666667;4;0;"Positive";1;1
"Pregnancy";"h_fdensity300_preg_Log";"e3_bw";-8,53615460231414e-06;6;5;0,833333333333333;4;1;"Positive";0,8;0,2
"Pregnancy";"h_frichness300_preg_None";"e3_bw";0,000106192864094424;6;6;1;6;0;"Positive";1;1
"Pregnancy";"h_landuseshan300_preg_None";"e3_bw";6,55186312171232e-05;6;6;1;6;0;"Positive";1;1
"Pregnancy";"h_popdens_preg_Sqrt";"e3_bw";-5,11223804514211e-05;6;4;0,666666666666667;3;1;"Positive";0,75;0,25
"Pregnancy";"h_walkability_mean_preg_None";"e3_bw";-5,78352812866705e-06;6;5;0,833333333333333;0;5;"Negative";1;1
"Pregnancy";"hs_as_m_Log2";"e3_bw";-0,000174641651011935;6;6;1;6;0;"Positive";1;0
"Pregnancy";"hs_cd_m_Log2";"e3_bw";-9,92857221575337e-05;6;1;0,166666666666667;1;0;"Positive";1;0
"Pregnancy";"hs_co_m_Log2";"e3_bw";0,000141998973645003;6;3;0,5;3;0;"Positive";1;1
"Pregnancy";"hs_cs_m_Log2";"e3_bw";-0,000328448908398943;6;6;1;0;6;"Negative";1;1
