"scenario";"exposure";"outcome";"original_beta";"n_loco_fits";"n_selected";"selection_frequency";"n_positive";"n_negative";"dominant_direction";"dominant_sign_consistency";"original_sign_consistency"
"Childhood";"hs_no2_dy_hs_h_Log";"e3_bw";0,00132261578583518;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Childhood";"hs_no2_wk_hs_h_Log";"e3_bw";3,04099757429319e-05;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Childhood";"hs_no2_yr_hs_h_Log";"e3_bw";8,63326311481434e-05;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Childhood";"hs_pm10_dy_hs_h_None";"e3_bw";0,00125294296818221;6;6;1;2;4;"Negative";0,666666666666667;0,333333333333333
"Childhood";"hs_pm10_wk_hs_h_None";"e3_bw";-0,000152617271224389;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_pm10_yr_hs_h_None";"e3_bw";0,00037043904756845;6;6;1;2;4;"Negative";0,666666666666667;0,333333333333333
"Childhood";"hs_pm25_dy_hs_h_None";"e3_bw";-0,000721567405529447;6;6;1;5;1;"Positive";0,833333333333333;0,166666666666667
"Childhood";"hs_pm25_wk_hs_h_None";"e3_bw";-0,00107166844136735;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
"Childhood";"hs_pm25_yr_hs_h_None";"e3_bw";0,000854259893581657;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Childhood";"hs_pm25abs_dy_hs_h_Log";"e3_bw";0,00115643290888871;6;6;1;2;4;"Negative";0,666666666666667;0,333333333333333
"Childhood";"hs_pm25abs_wk_hs_h_Log";"e3_bw";-0,000838165441922522;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_pm25abs_yr_hs_h_Log";"e3_bw";0,000225910803680304;6;6;1;2;4;"Negative";0,666666666666667;0,333333333333333
"Childhood";"hs_accesslines300_h_dic0";"e3_bw";4,82769109501892e-05;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"hs_accesspoints300_h_Log";"e3_bw";-0,00251921216635805;6;6;1;4;2;"Positive";0,666666666666667;0,333333333333333
"Childhood";"hs_builtdens300_h_Sqrt";"e3_bw";-0,000141287434644554;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_connind300_h_Log";"e3_bw";-0,000351346910475187;6;6;1;5;1;"Positive";0,833333333333333;0,166666666666667
"Childhood";"hs_fdensity300_h_Log";"e3_bw";0,00104619400794649;6;6;1;6;0;"Positive";1;1
"Childhood";"hs_landuseshan300_h_None";"e3_bw";-0,00132131958560403;6;6;1;6;0;"Positive";1;0
"Childhood";"hs_popdens_h_Sqrt";"e3_bw";-0,000322628636707097;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_walkability_mean_h_None";"e3_bw";0,000177966012717724;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"hs_accesslines300_s_dic0";"e3_bw";-0,000108421942150079;6;6;1;6;0;"Positive";1;0
"Childhood";"hs_accesspoints300_s_Log";"e3_bw";-0,00098390859887485;6;6;1;6;0;"Positive";1;0
"Childhood";"hs_builtdens300_s_Sqrt";"e3_bw";-0,00152984189752868;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_connind300_s_Log";"e3_bw";-0,00230897243594851;6;6;1;5;1;"Positive";0,833333333333333;0,166666666666667
"Childhood";"hs_fdensity300_s_Log";"e3_bw";-0,00127608993278711;6;6;1;6;0;"Positive";1;0
"Childhood";"hs_landuseshan300_s_None";"e3_bw";0,00101794188589279;6;6;1;6;0;"Positive";1;1
"Childhood";"hs_popdens_s_Sqrt";"e3_bw";0,00130258064087588;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"h_Absorbance_Log";"e3_bw";-8,14293159718685e-05;6;6;1;4;2;"Positive";0,666666666666667;0,333333333333333
"Childhood";"h_Benzene_Log";"e3_bw";-0,00481544582744846;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
"Childhood";"h_NO2_Log";"e3_bw";0,00115711558697633;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Childhood";"h_PM_Log";"e3_bw";-0,00169942928216941;6;6;1;5;1;"Positive";0,833333333333333;0,166666666666667
"Childhood";"h_TEX_Log";"e3_bw";0,00111187495542456;6;6;1;3;3;"Tie";0,5;0,5
"Childhood";"hs_KIDMED_None";"e3_bw";0,000771023515374236;6;6;1;4;2;"Positive";0,666666666666667;0,666666666666667
"Childhood";"hs_mvpa_prd_alt_None";"e3_bw";0,000114051015091753;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"hs_sd_wk_None";"e3_bw";-0,000178375750420471;6;6;1;4;2;"Positive";0,666666666666667;0,333333333333333
"Childhood";"hs_dif_hours_total_None";"e3_bw";-0,00335760587225505;6;6;1;3;3;"Tie";0,5;0,5
"Childhood";"hs_as_c_Log2";"e3_bw";0,000637316571431997;6;6;1;3;3;"Tie";0,5;0,5
"Childhood";"hs_cd_c_Log2";"e3_bw";0,00143358281558448;6;6;1;2;4;"Negative";0,666666666666667;0,333333333333333
"Childhood";"hs_co_c_Log2";"e3_bw";-0,000723473908064725;6;6;1;3;3;"Tie";0,5;0,5
"Childhood";"hs_cs_c_Log2";"e3_bw";8,24252927522737e-05;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"hs_cu_c_Log2";"e3_bw";-0,00208803610254362;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
"Childhood";"hs_hg_c_Log2";"e3_bw";-0,000456146115809451;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_mn_c_Log2";"e3_bw";-0,00175606751375381;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_mo_c_Log2";"e3_bw";-0,00457575056311644;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_pb_c_Log2";"e3_bw";0,000927541058592809;6;6;1;4;2;"Positive";0,666666666666667;0,666666666666667
"Childhood";"hs_hum_mt_hs_h_None";"e3_bw";0,000611355043806348;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"hs_tm_mt_hs_h_None";"e3_bw";-0,0014400490873944;6;6;1;5;1;"Positive";0,833333333333333;0,166666666666667
"Childhood";"hs_uvdvf_mt_hs_h_None";"e3_bw";6,1796614951868e-05;6;6;1;0;6;"Negative";1;0
"Childhood";"hs_hum_dy_hs_h_None";"e3_bw";-0,00130197994610828;6;6;1;0;6;"Negative";1;1
"Childhood";"hs_hum_wk_hs_h_None";"e3_bw";0,000454303264873489;6;6;1;1;5;"Negative";0,833333333333333;0,166666666666667
"Childhood";"hs_tm_dy_hs_h_None";"e3_bw";-0,000424751198263683;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
