"scenario";"exposure";"outcome";"original_beta";"n_loco_fits";"n_selected";"selection_frequency";"n_positive";"n_negative";"dominant_direction";"dominant_sign_consistency";"original_sign_consistency"
"Combined";"h_abs_ratio_preg_Log";"e3_bw";0,016023179607858;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Combined";"h_no2_ratio_preg_Log";"e3_bw";-0,00733682269745987;6;5;0,833333333333333;4;1;"Positive";0,8;0,2
"Combined";"h_pm10_ratio_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Combined";"h_pm25_ratio_preg_None";"e3_bw";0,0126851203295046;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Combined";"h_accesslines300_preg_dic0";"e3_bw";-0,0129932855276333;6;6;1;1;5;"Negative";0,833333333333333;0,833333333333333
"Combined";"h_accesspoints300_preg_Log";"e3_bw";0,00796315517192526;6;6;1;6;0;"Positive";1;1
"Combined";"h_builtdens300_preg_Sqrt";"e3_bw";0,00153538519109588;6;4;0,666666666666667;4;0;"Positive";1;1
"Combined";"h_connind300_preg_Sqrt";"e3_bw";0,00563295021967235;6;6;1;4;2;"Positive";0,666666666666667;0,666666666666667
"Combined";"h_fdensity300_preg_Log";"e3_bw";0,00069913205103599;6;6;1;6;0;"Positive";1;1
"Combined";"h_frichness300_preg_None";"e3_bw";0,0024305724158245;6;4;0,666666666666667;4;0;"Positive";1;1
"Combined";"h_landuseshan300_preg_None";"e3_bw";-0,00459093460019478;6;5;0,833333333333333;2;3;"Negative";0,6;0,6
"Combined";"h_popdens_preg_Sqrt";"e3_bw";-0,000305778657978231;6;6;1;0;6;"Negative";1;1
"Combined";"h_walkability_mean_preg_None";"e3_bw";0,002079232557559;6;6;1;2;4;"Negative";0,666666666666667;0,333333333333333
"Combined";"hs_as_m_Log2";"e3_bw";-0,00233827910207056;6;6;1;3;3;"Tie";0,5;0,5
"Combined";"hs_cd_m_Log2";"e3_bw";0,00141017504201494;6;6;1;3;3;"Tie";0,5;0,5
"Combined";"hs_co_m_Log2";"e3_bw";0,0113043463478315;6;2;0,333333333333333;1;1;"Tie";0,5;0,5
"Combined";"hs_cs_m_Log2";"e3_bw";0;6;2;0,333333333333333;0;2;"Negative";1;NA
"Combined";"hs_cu_m_Log2";"e3_bw";0,0157357493377426;6;6;1;5;1;"Positive";0,833333333333333;0,833333333333333
"Combined";"hs_hg_m_Log2";"e3_bw";0;6;1;0,166666666666667;0;1;"Negative";1;NA
"Combined";"hs_mn_m_Log2";"e3_bw";0,00526248136204957;6;5;0,833333333333333;5;0;"Positive";1;1
"Combined";"hs_mo_m_Log2";"e3_bw";0,00960615265747364;6;5;0,833333333333333;4;1;"Positive";0,8;0,8
"Combined";"hs_pb_m_Log2";"e3_bw";0;6;1;0,166666666666667;0;1;"Negative";1;NA
