"scenario";"exposure";"outcome";"original_beta";"n_loco_fits";"n_selected";"selection_frequency";"n_positive";"n_negative";"dominant_direction";"dominant_sign_consistency";"original_sign_consistency"
"Pregnancy";"h_abs_ratio_preg_Log";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_no2_ratio_preg_Log";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_pm10_ratio_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_pm25_ratio_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_accesslines300_preg_dic0";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_accesspoints300_preg_Log";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_builtdens300_preg_Sqrt";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_connind300_preg_Sqrt";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_fdensity300_preg_Log";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_frichness300_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_landuseshan300_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_popdens_preg_Sqrt";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_walkability_mean_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_as_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_cd_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_co_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_cs_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_cu_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_hg_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_mn_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_mo_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_pb_m_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_humidity_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_pressure_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_temperature_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"h_ndvi100_preg_None";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_dde_madj_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
"Pregnancy";"hs_ddt_madj_Log2";"e3_bw";0;6;0;0;0;0;"Not selected";NA;NA
