"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"hs_no2_dy_hs_h_Log";"e3_bw";0;0,0141303281135851;0,0145716976286234;0,00555494583331761;0,00324283434421175;0,0250178218829585;0,00373442813569102;0,027048872443521;2,54373823572389;0,0109673239216092;TRUE;100;"2";"Childhood"
"hs_no2_wk_hs_h_Log";"e3_bw";0;0,00900178204242916;0,0103999266297496;0,00563511765305594;-0,00204284560620635;0,0200464096910647;0,000241868138361477;0,0212754112908483;1,597443495709;0,110166883457205;FALSE;100;"2";"Childhood"
"hs_no2_yr_hs_h_Log";"e3_bw";0;0,028277061470129;0,0292757835070546;0,00583702642597647;0,0168366998984065;0,0397174230418514;0,0192585333220208;0,0422093529639774;4,84442923614116;1,26976161864e-06;TRUE;100;"2";"Childhood"
"hs_pm10_dy_hs_h_None";"e3_bw";0;-0,00769898912761934;-0,00722068540711837;0,00494045866834716;-0,0173821101846885;0,0019841319294498;-0,0184847765836074;0,00101953511382883;-1,55835513349109;0,119149086103795;FALSE;100;"2";"Childhood"
"hs_pm10_wk_hs_h_None";"e3_bw";0;-0,00678432053848737;-0,00697504525259371;0,0045519188295825;-0,0157059175050188;0,00213727642804405;-0,0153158328276444;0,00205616990983185;-1,49043091330994;0,136110969310341;FALSE;100;"2";"Childhood"
"hs_pm10_yr_hs_h_None";"e3_bw";0;-0,00929514469952796;-0,00983555852668372;0,0056705846238936;-0,020409286333646;0,0018189969345901;-0,020784520367733;-0,000547926199644287;-1,63918631252973;0,101174463544443;FALSE;100;"2";"Childhood"
"hs_pm25_dy_hs_h_None";"e3_bw";0;0,00660210059257854;0,00640239079283516;0,00452851344924035;-0,00227362267143781;0,0154778238565949;-0,00225161016209275;0,0146520517186722;1,45789576791166;0,144869275337136;FALSE;100;"2";"Childhood"
"hs_pm25_wk_hs_h_None";"e3_bw";0;-0,00945722488012756;-0,0105630618061068;0,00593144991285555;-0,0210826530854277;0,00216820332517255;-0,0215105017427015;0,00117056751514583;-1,59442042318024;0,11084190109031;FALSE;100;"2";"Childhood"
"hs_pm25_yr_hs_h_None";"e3_bw";0;0,0243411191128734;0,0260091117029163;0,00691020044253217;0,0107973751195576;0,0378848631061892;0,0133625295476854;0,0383666084423262;3,52249103557897;0,000427511499613901;TRUE;100;"2";"Childhood"
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;-0,00291518204304438;-0,00334057886413989;0,00416381803683897;-0,011076115433427;0,00524575134733826;-0,0116600614519284;0,00607091268901941;-0,700122343784622;0,483850903061973;FALSE;100;"2";"Childhood"
