"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"h_abs_ratio_preg_Log";"e3_bw";0;-0,0025325567702507;-0,00208182221361994;0,00469003264146173;-0,011724851833833;0,00665973829333155;-0,0110592265215075;0,0067628194736788;-0,539987024367785;0,589205980925882;FALSE;100;"3";"Combined"
"h_no2_ratio_preg_Log";"e3_bw";0;-0,00171856937495597;-0,000432162004250983;0,00444290805811429;-0,0104265091554828;0,00698937040557083;-0,00931515173365863;0,00750192205052177;-0,386811825155208;0,698895522193882;FALSE;100;"3";"Combined"
"h_pm10_ratio_preg_None";"e3_bw";0;-0,0103653141470837;-0,0101306478410295;0,00505285929733188;-0,0202687363888025;-0,000461891905364836;-0,0183899702807896;-0,000100113398394225;-2,05137597093927;0,0402303472508461;TRUE;100;"3";"Combined"
"h_pm25_ratio_preg_None";"e3_bw";0;-0,00346672911867911;-0,00334155287289302;0,00426555677212997;-0,0118270667660648;0,00489360852870656;-0,0106678255362096;0,00590543575262648;-0,812726052863675;0,416375140588658;FALSE;100;"3";"Combined"
"h_accesslines300_preg_dic0";"e3_bw";0;0,0104032512114532;0,0120313554453981;0,0198767022563567;-0,028554369342432;0,0493608717653384;-0,0244148792166189;0,0522758774179489;0,523389195917858;0,600703441150492;FALSE;100;"3";"Combined"
"h_accesspoints300_preg_Log";"e3_bw";0;0,00660656709039127;0,00579325619122288;0,00445841084736166;-0,00213175759872028;0,0153448917795028;-0,0036768815945449;0,0128938957730846;1,48182106059176;0,138387913709063;FALSE;100;"3";"Combined"
"h_builtdens300_preg_Sqrt";"e3_bw";0;-0,00366984179152441;-0,00377246332242231;0,00417551226364704;-0,0118536954452779;0,00451401186222911;-0,0123040203620204;0,00353189985695727;-0,878896183224005;0,379457568339051;FALSE;100;"3";"Combined"
"h_connind300_preg_Sqrt";"e3_bw";0;0,0057843153810648;0,00470768647478533;0,00428594417810554;-0,00261598084777118;0,0141846116099008;-0,00252957609781743;0,0127203149345393;1,34960119420444;0,177143940914758;FALSE;100;"3";"Combined"
"h_fdensity300_preg_Log";"e3_bw";0;0,00488114117623294;0,00528151493143916;0,00487117092297837;-0,0046661783953434;0,0144284607478093;-0,0032643846713429;0,0138701325335306;1,00204678780774;0,31632099610237;FALSE;100;"3";"Combined"
"h_frichness300_preg_None";"e3_bw";0;0,00895377826703636;0,00871769768575593;0,00379065008126182;0,00152424062976937;0,0163833159043034;0,00196558443400778;0,0158467012772696;2,36206932190794;0,0181732435957304;TRUE;100;"3";"Combined"
"h_landuseshan300_preg_None";"e3_bw";0;0,00467156607523141;0,00484736063082141;0,00363963459692599;-0,00246198665162949;0,0118051188020923;-0,00156361584856214;0,0118557070441649;1,28352612077514;0,199307814306892;FALSE;100;"3";"Combined"
"h_popdens_preg_Sqrt";"e3_bw";0;0,00313945395005484;0,00317810655477841;0,00358640358311365;-0,00388976790687333;0,010168675806983;-0,00370569087587349;0,00923152248511917;0,875376648862596;0,381369001065297;FALSE;100;"3";"Combined"
"h_walkability_mean_preg_None";"e3_bw";0;-0,00989193141247981;-0,0101674311834481;0,00390347722995177;-0,0175426061976575;-0,00224125662730216;-0,0167089416336476;-0,00389064490267748;-2,5341332431961;0,0112725859554166;TRUE;100;"3";"Combined"
"hs_as_m_Log2";"e3_bw";0;0,00521022743955694;0,00508532783453587;0,00321983468813665;-0,00110053258536364;0,0115209874644775;-0,000786564851333581;0,011054533029071;1,61816613093642;0,105626799791825;FALSE;100;"3";"Combined"
"hs_cd_m_Log2";"e3_bw";0;0,000251775099094748;0,00171413732862875;0,00298288348550407;-0,00559456910257254;0,00609811930076204;-0,00314397875814233;0,00819603994661455;0,0844066153835039;0,932733147742961;FALSE;100;"3";"Combined"
"hs_co_m_Log2";"e3_bw";0;0,00360480468446327;0,00306473188519978;0,00308367141049645;-0,0024390802202656;0,00964868958919215;-0,00310856674177329;0,00900836620696867;1,1689976669346;0,242404571360727;FALSE;100;"3";"Combined"
"hs_cs_m_Log2";"e3_bw";0;-0,00694852398164171;-0,00662658691580836;0,0033876042965243;-0,0135881063967025;-0,000308941566580933;-0,0127628924604083;0,000228041680476185;-2,05116163914744;0,0402512082645014;TRUE;100;"3";"Combined"
"hs_cu_m_Log2";"e3_bw";0;-0,00258403274164992;-0,00272530904710939;0,00324336043234013;-0,00894090237791883;0,00377283689461899;-0,00845610206203321;0,00219760522576649;-0,796714640742381;0,425616779026621;FALSE;100;"3";"Combined"
"hs_hg_m_Log2";"e3_bw";0;-0,00590406320955297;-0,00543377343402317;0,00371662333238272;-0,0131885110851243;0,0013803846660184;-0,0135063722050089;0,000827148215207267;-1,58855570811043;0,112160734561618;FALSE;100;"3";"Combined"
"hs_mn_m_Log2";"e3_bw";0;0,000913804711434835;0,000469378605557915;0,0032155388093093;-0,00538853554570221;0,00721614496857188;-0,00542069846296582;0,00625822661165846;0,284184009469666;0,776269369102191;FALSE;100;"3";"Combined"
"hs_mo_m_Log2";"e3_bw";0;0,000341300845091588;-3,5358041064298e-05;0,00295579706009118;-0,0054519549382965;0,00613455662847968;-0,0044684573646274;0,00572060515270281;0,11546829438996;0,908073949764701;FALSE;100;"3";"Combined"
"hs_pb_m_Log2";"e3_bw";0;-0,00161244963964602;-0,00171722560279313;0,00279232531331251;-0,00708530668685806;0,00386040740756603;-0,00673265698159321;0,00345516910204187;-0,577457659377511;0,56363033313573;FALSE;100;"3";"Combined"
"h_humidity_preg_None";"e3_bw";0;0,0242842424360049;0,0238726984760858;0,00590428908233365;0,0127120484803179;0,0358564363916919;0,0129857047903555;0,0350580895420098;4,1129833071125;3,90578638290154e-05;TRUE;100;"3";"Combined"
"h_pressure_preg_None";"e3_bw";0;-0,0284036315819276;-0,0277365675823179;0,00461935784989746;-0,0374574065994289;-0,0193498565644262;-0,038946621458913;-0,0213721724396234;-6,14882685102174;7,80581341664691e-10;TRUE;100;"3";"Combined"
"h_temperature_preg_None";"e3_bw";0;0,00862215041223593;0,0078668243780872;0,00479071748028652;-0,000767483309232122;0,018011784133704;-0,00196204625366083;0,0169594181451018;1,799761820169;0,0718982549592347;FALSE;100;"3";"Combined"
"h_ndvi100_preg_None";"e3_bw";0;0,00602403488225882;0,00458262819575487;0,00486812228171939;-0,00351730946224814;0,0155653792267658;-0,0048062030097482;0,0154341615448388;1,23744526814375;0,215921821733773;FALSE;100;"3";"Combined"
"hs_dde_madj_Log2";"e3_bw";0;-0,00710653117216779;-0,00651151652977547;0,00372587587081885;-0,0144091136898395;0,000196051345503958;-0,0135833549707405;6,16437043642169e-05;-1,90734512328398;0,0564759105844177;FALSE;100;"3";"Combined"
"hs_ddt_madj_Log2";"e3_bw";0;-0,00266990586954372;-0,00207390337380915;0,00277654239616531;-0,00811182896757627;0,00277201722848882;-0,00637246910236684;0,00297052913896538;-0,961593769729986;0,336253702327091;FALSE;100;"3";"Combined"
"hs_hcb_madj_Log2";"e3_bw";0;0,0029609483641269;0,00245984202379017;0,002815718526552;-0,00255775853851721;0,00847965526677101;-0,00301670675678924;0,0087698879365094;1,0515782512369;0,292993090413461;FALSE;100;"3";"Combined"
"hs_pcb118_madj_Log2";"e3_bw";0;-0,00107730028135574;-0,00184779775878719;0,00494460989533563;-0,0107685575938139;0,00861395703110246;-0,0119728940384495;0,00606437160880118;-0,21787366529602;0,827527546302598;FALSE;100;"3";"Combined"
"hs_pcb138_madj_Log2";"e3_bw";0;-0,00206269378456857;-0,00198161556406042;0,00484938657805129;-0,011567316824661;0,00744192925552388;-0,00998483446191806;0,00796645194073084;-0,425351485465087;0,670580466693774;FALSE;100;"3";"Combined"
"hs_pcb153_madj_Log2";"e3_bw";0;-0,00311818103338169;-0,00430873648256937;0,00499464814417164;-0,0129075115114079;0,00667114944464454;-0,0142351809858137;0,0046373237373111;-0,624304444151959;0,532427665863758;FALSE;100;"3";"Combined"
"hs_pcb170_madj_Log2";"e3_bw";0;-0,00142934153116828;-0,000507904027052632;0,00472767848147386;-0,0106954210853421;0,0078367380230055;-0,00878788789219025;0,0109242791641033;-0,302334758332102;0,76239688402834;FALSE;100;"3";"Combined"
"hs_pcb180_madj_Log2";"e3_bw";0;0,00540000096662113;0,00508499456042929;0,00520165252839629;-0,00479505064912731;0,0155950525823696;-0,00521912508089076;0,0150024027271275;1,03813181236963;0,299208692659767;FALSE;100;"3";"Combined"
"hs_sumPCBs5_madj_Log2";"e3_bw";0;-0,00131805512797012;-0,00160012702514504;0,00476184006477082;-0,0106510901550608;0,00801497989912058;-0,0106162735465647;0,00647620750268513;-0,27679533752538;0,781937261469613;FALSE;100;"3";"Combined"
"hs_pfhxs_m_Log2";"e3_bw";0;0,00853513746699805;0,00854158028706006;0,00337030485377104;0,00192946133668628;0,0151408135973098;0,00208608965079934;0,0153044122288334;2,53245265259849;0,0113267665744338;TRUE;100;"3";"Combined"
"hs_pfna_m_Log2";"e3_bw";0;-0,00658240740006332;-0,00771352190374953;0,00444232116660698;-0,015289196894373;0,00212438209424631;-0,015695889312519;0,000286230980637869;-1,48174955236092;0,138406946767027;FALSE;100;"3";"Combined"
"hs_pfoa_m_Log2";"e3_bw";0;-0,00089950635573437;-0,000364132460510127;0,00398670566417839;-0,00871330587448586;0,00691429316301712;-0,00705060160187854;0,00667570439181468;-0,225626477474039;0,821491945767984;FALSE;100;"3";"Combined"
"hs_pfos_m_Log2";"e3_bw";0;-0,00405510360394371;-0,00338712298697123;0,00417523571924045;-0,0122384152406202;0,00412820803273275;-0,0125283933237543;0,00441989221507676;-0,971227465136126;0,331435019866154;FALSE;100;"3";"Combined"
"hs_pfunda_m_Log2";"e3_bw";0;-0,0035289404910209;-0,00346110906324658;0,00385765398882698;-0,0110898033739391;0,00403192239189725;-0,0116784391812224;0,00268617928326915;-0,914789273802644;0,360302266864154;FALSE;100;"3";"Combined"
"e3_asmokcigd_p_None";"e3_bw";0;-0,00539384589817478;-0,00582652710938256;0,00337934047845506;-0,012017231527445;0,00122953973109549;-0,0117566660491101;-8,76948488499682e-06;-1,5961238391228;0,110461147226414;FALSE;100;"3";"Combined"
"h_distinvnear1_preg_Log";"e3_bw";0;0,00124303838705467;0,000980072831223539;0,00303951960262178;-0,00471431056438751;0,00720038733849685;-0,00391554002607292;0,00610764256741863;0,408958832172845;0,68256987297987;FALSE;100;"3";"Combined"
"h_trafload_preg_pow1over3";"e3_bw";0;-0,0029709249468754;-0,00292599172797952;0,00301960462179397;-0,00888924125314226;0,00294739135939147;-0,00829326644578541;0,00249659802099607;-0,983878791757296;0,325175112590914;FALSE;100;"3";"Combined"
