"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap";"omitted_cohort";"scenario"
"h_abs_ratio_preg_Log";"e3_bw";0;-0,00980919360970641;-0,00852677751101774;0,00439150496741386;-0,0184163851837663;-0,0012020020356465;-0,0164206373129907;-0,000305428578455307;-2,23367471572804;0,0255044838183491;TRUE;100;"1";"Pregnancy"
"h_no2_ratio_preg_Log";"e3_bw";0;0,00210061313136624;0,000868605979956486;0,0043703261017474;-0,00646506862875399;0,0106662948914865;-0,00859384117647761;0,00788033794738604;0,480653636012734;0,630762688240159;FALSE;100;"1";"Pregnancy"
"h_pm10_ratio_preg_None";"e3_bw";0;-0,0218284725819133;-0,0220528603653149;0,00412642471416392;-0,0299161164065906;-0,013740828757236;-0,0305555675182949;-0,0152650426028385;-5,28992386726146;1,22367284689816e-07;TRUE;100;"1";"Pregnancy"
"h_pm25_ratio_preg_None";"e3_bw";0;0,0160413441071438;0,0157880062022583;0,00269182745214418;0,010765459248345;0,0213172289659426;0,0108592966648463;0,0208392878497152;5,95927651096879;2,53357090933828e-09;TRUE;100;"1";"Pregnancy"
"h_accesslines300_preg_dic0";"e3_bw";0;0,0554673718022506;0,0568628911685628;0,0115935669637841;0,0327443981008805;0,0781903455036208;0,0343390956064227;0,0793604722166543;4,78432323507677;1,71564403653602e-06;TRUE;100;"1";"Pregnancy"
"h_accesspoints300_preg_Log";"e3_bw";0;0,00980436189465551;0,0108196239906009;0,00396652822211106;0,00203010943565614;0,0175786143536549;0,00148517272953479;0,0176292193304377;2,47177414243569;0,0134444425781469;TRUE;100;"1";"Pregnancy"
"h_builtdens300_preg_Sqrt";"e3_bw";0;4,17653587965991e-06;-0,0010990929495508;0,00349974802059111;-0,00685520353944426;0,00686355661120358;-0,00761809612031975;0,00478342048387276;0,00119338188209175;0,999047819247147;FALSE;100;"1";"Pregnancy"
"h_connind300_preg_Sqrt";"e3_bw";0;-0,00275167825556284;-0,00206150321679806;0,0030883562579467;-0,00880474529256727;0,00330138878144158;-0,00879839019342621;0,00390034615173038;-0,890984726416343;0,372937364214128;FALSE;100;"1";"Pregnancy"
"h_fdensity300_preg_Log";"e3_bw";0;-0,00793672519269754;-0,00941079255310775;0,00401232392719521;-0,0158007355843085;-7,27148010866065e-05;-0,0178389452022955;-0,00199530731496223;-1,9780868485974;0,0479189099440707;TRUE;100;"1";"Pregnancy"
"h_frichness300_preg_None";"e3_bw";0;0,00618922962749723;0,00673177576613562;0,00394237218457647;-0,00153767786792514;0,0139161371229196;0,000503954471442596;0,0147177190508046;1,56992524747182;0,116432503103724;FALSE;100;"1";"Pregnancy"
"h_landuseshan300_preg_None";"e3_bw";0;0,00346558227436193;0,00431965150651695;0,0029039335792019;-0,00222602295437029;0,00915718750309415;-0,000782980591632364;0,0102040238209515;1,1934096217567;0,232708988561669;FALSE;100;"1";"Pregnancy"
"h_popdens_preg_Sqrt";"e3_bw";0;-0,00394495603824375;-0,00345181007826015;0,00385843485143477;-0,01150734938375;0,00361743730726254;-0,00975987189731129;0,00415061559706925;-1,02242390765696;0,306580309882845;FALSE;100;"1";"Pregnancy"
"h_walkability_mean_preg_None";"e3_bw";0;0,00170734878027218;0,000993026347008296;0,00298032311306346;-0,00413397718362449;0,00754867474416886;-0,00394395092217036;0,00773923926925742;0,572873717211557;0,566730201476298;FALSE;100;"1";"Pregnancy"
"hs_as_m_Log2";"e3_bw";0;0,00513131166177242;0,00476227461991105;0,00308939370633198;-0,000923788736702968;0,0111864120602478;-0,000816113702343364;0,0103910991208921;1,66094455726227;0,0967245822859784;FALSE;100;"1";"Pregnancy"
"hs_cd_m_Log2";"e3_bw";0;-0,000807541613064889;1,53385447375892e-05;0,00320666859242607;-0,00709249656457574;0,00547741333844596;-0,0066714874387726;0,00553470869453973;-0,251831952629045;0,801170958449923;FALSE;100;"1";"Pregnancy"
"hs_co_m_Log2";"e3_bw";0;0,0067251240527863;0,0066743501519922;0,00316976225336102;0,000512504196644187;0,0129377439089284;0,00110518024589523;0,0126332604870548;2,12164935892444;0,0338671941663638;TRUE;100;"1";"Pregnancy"
"hs_cs_m_Log2";"e3_bw";0;-0,00421045168292146;-0,00475318024757521;0,00295182478413945;-0,00999592194850749;0,00157501858266458;-0,00968133096024977;0,000922566809529495;-1,42638943393415;0,153755961919877;FALSE;100;"1";"Pregnancy"
"hs_cu_m_Log2";"e3_bw";0;-0,00464377507713543;-0,00387720994752737;0,00290907002109813;-0,0103454475469929;0,00105789739272208;-0,00951235438104326;0,00200873003646191;-1,59630914466008;0,110419789422966;FALSE;100;"1";"Pregnancy"
"hs_hg_m_Log2";"e3_bw";0;-0,00271229470515231;-0,00286456888585514;0,00369016651711515;-0,00994488817565361;0,00452029876534898;-0,00993032637685373;0,00343843181554187;-0,735006047172282;0,462335811279478;FALSE;100;"1";"Pregnancy"
"hs_mn_m_Log2";"e3_bw";0;-0,00311812244716203;-0,00263052687431362;0,00284192768806885;-0,00868819836244415;0,00245195346812009;-0,0077076038976012;0,00241437532435928;-1,09718570963389;0,272560218779896;FALSE;100;"1";"Pregnancy"
"hs_mo_m_Log2";"e3_bw";0;0,00152240998067515;0,000397103963027218;0,00306294132427928;-0,00448084470167165;0,00752566466302195;-0,00566860925574416;0,00612886592671748;0,497041836422832;0,61915954923794;FALSE;100;"1";"Pregnancy"
"hs_pb_m_Log2";"e3_bw";0;0,00176636018395297;0,000965154958687854;0,00294504633459562;-0,00400582456465614;0,00753854493256209;-0,00473828012533647;0,00666749336569878;0,599773308556623;0,548657324106165;FALSE;100;"1";"Pregnancy"
"h_humidity_preg_None";"e3_bw";0;0,0133229084160795;0,0145829853395335;0,00468301005264701;0,00414437737365232;0,0225014394585066;0,00551227508230964;0,0226439846161743;2,84494550861553;0,00444190211861864;TRUE;100;"1";"Pregnancy"
