"exposure";"outcome";"n_selected_loco";"n_positive_selected";"n_negative_selected"
"hs_no2_dy_hs_h_Log";"e3_bw";6;1;5
"hs_no2_yr_hs_h_Log";"e3_bw";6;1;5
"hs_pm10_dy_hs_h_None";"e3_bw";6;4;2
"hs_pm10_wk_hs_h_None";"e3_bw";6;6;0
"hs_pm10_yr_hs_h_None";"e3_bw";6;6;0
"hs_pm25_dy_hs_h_None";"e3_bw";6;1;5
"hs_pm25_yr_hs_h_None";"e3_bw";6;1;5
"hs_pm25abs_dy_hs_h_Log";"e3_bw";6;6;0
"hs_pm25abs_wk_hs_h_Log";"e3_bw";6;0;6
"hs_pm25abs_yr_hs_h_Log";"e3_bw";6;5;1
"hs_accesslines300_h_dic0";"e3_bw";6;5;1
"hs_accesspoints300_h_Log";"e3_bw";6;0;6
"hs_connind300_h_Log";"e3_bw";6;1;5
"hs_fdensity300_h_Log";"e3_bw";6;6;0
"hs_landuseshan300_h_None";"e3_bw";6;6;0
"hs_popdens_h_Sqrt";"e3_bw";6;2;4
"hs_walkability_mean_h_None";"e3_bw";6;6;0
"hs_accesslines300_s_dic0";"e3_bw";6;1;5
"hs_accesspoints300_s_Log";"e3_bw";6;0;6
"hs_builtdens300_s_Sqrt";"e3_bw";6;5;1
"hs_connind300_s_Log";"e3_bw";6;0;6
"hs_fdensity300_s_Log";"e3_bw";6;0;6
"hs_landuseshan300_s_None";"e3_bw";6;1;5
"hs_popdens_s_Sqrt";"e3_bw";6;5;1
"h_Absorbance_Log";"e3_bw";6;5;1
"h_Benzene_Log";"e3_bw";6;0;6
"h_NO2_Log";"e3_bw";6;6;0
"h_PM_Log";"e3_bw";6;0;6
"h_TEX_Log";"e3_bw";6;5;1
"hs_KIDMED_None";"e3_bw";6;6;0
"hs_mvpa_prd_alt_None";"e3_bw";6;1;5
"hs_sd_wk_None";"e3_bw";6;1;5
"hs_dif_hours_total_None";"e3_bw";6;0;6
"hs_as_c_Log2";"e3_bw";6;6;0
"hs_cd_c_Log2";"e3_bw";6;1;5
"hs_co_c_Log2";"e3_bw";6;5;1
"hs_cs_c_Log2";"e3_bw";6;6;0
"hs_cu_c_Log2";"e3_bw";6;4;2
"hs_hg_c_Log2";"e3_bw";6;0;6
"hs_mn_c_Log2";"e3_bw";6;0;6
"hs_mo_c_Log2";"e3_bw";6;0;6
"hs_pb_c_Log2";"e3_bw";6;0;6
"hs_hum_mt_hs_h_None";"e3_bw";6;6;0
"hs_uvdvf_mt_hs_h_None";"e3_bw";6;6;0
"hs_hum_dy_hs_h_None";"e3_bw";6;4;2
"hs_hum_wk_hs_h_None";"e3_bw";6;3;3
"hs_tm_dy_hs_h_None";"e3_bw";6;2;4
"hs_uvdvf_wk_hs_h_None";"e3_bw";6;2;4
"hs_ndvi100_h_None";"e3_bw";6;4;2
"hs_ndvi100_s_None";"e3_bw";6;0;6
"hs_dde_cadj_Log2";"e3_bw";6;1;5
"hs_ddt_cadj_Log2";"e3_bw";6;4;2
"hs_hcb_cadj_Log2";"e3_bw";6;0;6
"hs_pcb118_cadj_Log2";"e3_bw";6;0;6
"hs_pcb153_cadj_Log2";"e3_bw";6;1;5
"hs_pcb170_cadj_Log2";"e3_bw";6;3;3
"hs_pcb180_cadj_Log2";"e3_bw";6;6;0
"hs_sumPCBs5_cadj_Log2";"e3_bw";6;5;1
"hs_pfhxs_c_Log2";"e3_bw";6;5;1
"hs_pfna_c_Log2";"e3_bw";6;1;5
"hs_pfoa_c_Log2";"e3_bw";6;6;0
"hs_pfos_c_Log2";"e3_bw";6;5;1
"hs_pfunda_c_Log2";"e3_bw";6;6;0
"hs_hm_pers_None";"e3_bw";6;1;5
"hs_trafload_h_pow1over3";"e3_bw";6;0;6
"hs_trafnear_h_pow1over3";"e3_bw";6;0;6
"FAS_cat_None_Low";"e3_bw";6;0;6
