"exposure";"outcome";"n_selected_loco";"n_positive_selected";"n_negative_selected"
"h_abs_ratio_preg_Log";"e3_bw";6;0;6
"h_no2_ratio_preg_Log";"e3_bw";6;2;4
"h_pm10_ratio_preg_None";"e3_bw";6;1;5
"h_pm25_ratio_preg_None";"e3_bw";6;2;4
"h_accesslines300_preg_dic0";"e3_bw";6;6;0
"h_accesspoints300_preg_Log";"e3_bw";6;6;0
"h_builtdens300_preg_Sqrt";"e3_bw";6;3;3
"h_connind300_preg_Sqrt";"e3_bw";6;5;1
"h_fdensity300_preg_Log";"e3_bw";6;5;1
"h_frichness300_preg_None";"e3_bw";6;6;0
"h_landuseshan300_preg_None";"e3_bw";6;6;0
"h_popdens_preg_Sqrt";"e3_bw";6;5;1
"h_walkability_mean_preg_None";"e3_bw";6;1;5
"hs_as_m_Log2";"e3_bw";6;6;0
"hs_cd_m_Log2";"e3_bw";6;2;4
"hs_co_m_Log2";"e3_bw";6;5;1
"hs_cs_m_Log2";"e3_bw";6;0;6
"hs_cu_m_Log2";"e3_bw";6;0;6
"hs_hg_m_Log2";"e3_bw";6;1;5
"hs_mn_m_Log2";"e3_bw";6;2;4
"hs_mo_m_Log2";"e3_bw";6;2;4
"hs_pb_m_Log2";"e3_bw";6;1;5
"h_humidity_preg_None";"e3_bw";6;6;0
"h_pressure_preg_None";"e3_bw";6;0;6
"h_temperature_preg_None";"e3_bw";6;5;1
"h_ndvi100_preg_None";"e3_bw";6;6;0
"hs_dde_madj_Log2";"e3_bw";6;0;6
"hs_ddt_madj_Log2";"e3_bw";6;1;5
"hs_hcb_madj_Log2";"e3_bw";6;3;3
"hs_pcb118_madj_Log2";"e3_bw";6;4;2
"hs_pcb138_madj_Log2";"e3_bw";6;1;5
"hs_pcb153_madj_Log2";"e3_bw";6;0;6
"hs_pcb170_madj_Log2";"e3_bw";6;5;1
"hs_pcb180_madj_Log2";"e3_bw";6;6;0
"hs_sumPCBs5_madj_Log2";"e3_bw";6;1;5
