"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"hs_pm10_yr_hs_h_None";"e3_bw";0,18953694118342;1e-12;0,00744260320140951;0,0259780933936653;0,0285473553776541;0,0227310238029362;0,0269226198750987;-0,00429435675236219;0,0839328484983077;-0,00565644724632212;0,0839402715242912;91;0,91;0,9;TRUE;0,945054945054945;0,8;TRUE;TRUE;0,86;0,05;0,09
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0,18953694118342;1e-12;0,0192714608466045;0,0234834915826694;0,0237206985683529;0,023438280734163;0,018560482365907;-0,00624408557746151;0,0594479878912174;-0,00629842309540876;0,0594654399313145;99;0,99;0,9;TRUE;0,929292929292929;0,8;TRUE;TRUE;0,92;0,07;0,01
"hs_accesspoints300_h_Log";"e3_bw";0,18953694118342;1e-12;-0,0195601345786731;-0,0299056485770137;-0,0299056485770137;-0,0263910280932186;0,0244376411334125;-0,0814097471052838;0,00595748057367745;-0,0814097471052838;0,00595748057367745;100;1;0,9;TRUE;0,92;0,8;TRUE;TRUE;0,08;0,92;0
"hs_fdensity300_h_Log";"e3_bw";0,18953694118342;1e-12;0,0179038380806913;0,0255016561452548;0,0257592486315705;0,0246986831068283;0,0195697355831251;-0,00245173537643088;0,0596288961303507;-0,002494450578345;0,0597064580142519;99;0,99;0,9;TRUE;0,939393939393939;0,8;TRUE;TRUE;0,93;0,06;0,01
"hs_accesslines300_s_dic0";"e3_bw";0,18953694118342;1e-12;-0,0611555230284997;-0,0434378336027268;-0,0434378336027268;-0,0312646431679012;0,0666408862420758;-0,213724285020225;0,0643150002979873;-0,213724285020225;0,0643150002979873;100;1;0,9;TRUE;0,8;0,8;TRUE;TRUE;0,2;0,8;0
"hs_accesspoints300_s_Log";"e3_bw";0,18953694118342;1e-12;-0,0212584827342969;-0,024363410249813;-0,024363410249813;-0,0236692298476744;0,0190066307532943;-0,0706063871170693;0,00883657497409476;-0,0706063871170693;0,00883657497409476;100;1;0,9;TRUE;0,9;0,8;TRUE;TRUE;0,1;0,9;0
"hs_fdensity300_s_Log";"e3_bw";0,18953694118342;1e-12;-0,00778572594837858;-0,0160519227445002;-0,0163795130045921;-0,0104134344030911;0,0208460901376907;-0,0700349559940731;0,0139934447540773;-0,0701669170545555;0,0140575915847719;98;0,98;0,9;TRUE;0,857142857142857;0,8;TRUE;TRUE;0,14;0,84;0,02
"hs_popdens_s_Sqrt";"e3_bw";0,18953694118342;1e-12;0,00106741390902525;0,0123906483130622;0,0133232777559808;0,00931975131581977;0,0129346360197812;-0,00581793002776423;0,0382247463244987;-0,00591380870563854;0,0383009503610233;93;0,93;0,9;TRUE;0,903225806451613;0,8;TRUE;TRUE;0,84;0,09;0,07
"h_Benzene_Log";"e3_bw";0,18953694118342;1e-12;-0,0378781650506563;-0,0360895560223093;-0,0360895560223093;-0,0339648871109498;0,0205803387436115;-0,0760448816115817;-0,0015747335939938;-0,0760448816115817;-0,0015747335939938;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,02;0,98;0
"h_NO2_Log";"e3_bw";0,18953694118342;1e-12;0,00599109058314272;0,0302778647733062;0,031214293580728;0,0281048930610048;0,0234698089419364;-2,91311384972075e-05;0,0786325334771108;0,0002363965911269;0,0788289775690903;97;0,97;0,9;TRUE;0,969072164948454;0,8;TRUE;TRUE;0,94;0,03;0,03
