"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_pm10_ratio_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,000228400455766158;-0,00776961864041506;-0,00776961864041506;-0,00772846288782546;0,00470864198033938;-0,0174357788689636;-6,57266168386812e-05;-0,0174357788689636;-6,57266168386812e-05;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,02;0,98;0
"h_accesslines300_preg_dic0";"e3_bw";0,000154688532314652;1e-12;1,86234887304654e-05;0,0151499450142237;0,0151499450142237;0,0155370520943341;0,0129742925814651;-0,00949959773276025;0,0379288442232191;-0,00949959773276025;0,0379288442232191;100;1;0,9;TRUE;0,87;0,8;TRUE;TRUE;0,87;0,13;0
"h_accesspoints300_preg_Log";"e3_bw";0,000154688532314652;1e-12;0,000779655225744811;0,006131774619715;0,006131774619715;0,00591437342930275;0,0041149441523414;-0,000179273416712449;0,0137645763426611;-0,000179273416712449;0,0137645763426611;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,96;0,04;0
"h_connind300_preg_Sqrt";"e3_bw";0,000154688532314652;1e-12;5,85978461404515e-05;0,00340197511009202;0,00340197511009202;0,0032459857339792;0,00344609060535827;-0,00296171682181984;0,00992835328587108;-0,00296171682181984;0,00992835328587108;100;1;0,9;TRUE;0,84;0,8;TRUE;TRUE;0,84;0,16;0
"h_frichness300_preg_None";"e3_bw";0,000154688532314652;1e-12;0,000782878934232876;0,00832136561186361;0,00832136561186361;0,00800689374723372;0,00358027744224196;0,00106877815702095;0,0155096376250484;0,00106877815702095;0,0155096376250484;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,99;0,01;0
"h_landuseshan300_preg_None";"e3_bw";0,000154688532314652;1e-12;0,000713990010404082;0,0057472619801809;0,0057472619801809;0,00591265278313871;0,00279751303445936;3,59004787546716e-05;0,0107142038726998;3,59004787546716e-05;0,0107142038726998;100;1;0,9;TRUE;0,97;0,8;TRUE;TRUE;0,97;0,03;0
"h_walkability_mean_preg_None";"e3_bw";0,000154688532314652;1e-12;-0,000354546049508239;-0,00821045626364497;-0,00821045626364497;-0,00795670137426938;0,00346652514856257;-0,0142646200565007;-0,00150444477580799;-0,0142646200565007;-0,00150444477580799;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_cs_m_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00257434737759885;-0,00739255772198308;-0,00739255772198308;-0,0071460322062567;0,00321934045090483;-0,0139090166358742;-0,00148708044437975;-0,0139090166358742;-0,00148708044437975;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_pressure_preg_None";"e3_bw";0,000154688532314652;1e-12;-6,31232389535538e-05;-0,0253129391664812;-0,0253129391664812;-0,0247499527292545;0,00498832369549824;-0,035199273974651;-0,017420493019171;-0,035199273974651;-0,017420493019171;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_temperature_preg_None";"e3_bw";0,000154688532314652;1e-12;0,000829098305836118;0,00604024688610509;0,00604024688610509;0,00643210690208468;0,00350100279750542;-0,000822097681573555;0,0122629280711886;-0,000822097681573555;0,0122629280711886;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,96;0,04;0
"h_ndvi100_preg_None";"e3_bw";0,000154688532314652;1e-12;9,61321391873449e-05;0,00521077063441864;0,00521077063441864;0,00520967821318861;0,00387458646869555;-0,00347365784771623;0,0113394221723094;-0,00347365784771623;0,0113394221723094;100;1;0,9;TRUE;0,89;0,8;TRUE;TRUE;0,89;0,11;0
"hs_dde_madj_Log2";"e3_bw";0,000154688532314652;1e-12;-0,00251908210956145;-0,00563570806431742;-0,00563570806431742;-0,0057746774207716;0,00286573515073679;-0,0109844450582528;0,000427102357840232;-0,0109844450582528;0,000427102357840232;100;1;0,9;TRUE;0,96;0,8;TRUE;TRUE;0,04;0,96;0
"hs_pcb138_madj_Log2";"e3_bw";0,000154688532314652;1e-12;-0,000606698042156513;-0,00366466071747198;-0,00366466071747198;-0,00364121836120929;0,00324498716252662;-0,00959149019130488;0,00217763079644504;-0,00959149019130488;0,00217763079644504;100;1;0,9;TRUE;0,85;0,8;TRUE;TRUE;0,15;0,85;0
