"exposure";"outcome";"lambda";"selection_tol";"beta_original";"beta_boot_mean_all";"beta_boot_mean_selected";"beta_boot_median_selected";"beta_boot_sd_all";"beta_boot_q025_all";"beta_boot_q975_all";"beta_boot_q025_selected";"beta_boot_q975_selected";"n_selected";"sel_prob";"sel_prob_threshold";"passes_sel_prob";"sign_consistency";"sign_consistency_threshold";"passes_sign_consistency";"passes_stability_filter";"prop_positive";"prop_negative";"prop_zero"
"h_pm10_ratio_preg_None";"e3_bw";0,000121507529397887;1e-12;-7,05148187897228e-05;-0,0111813848208397;-0,0111813848208397;-0,0111972574455269;0,00452564373083546;-0,0193666275046781;-0,00206711015888629;-0,0193666275046781;-0,00206711015888629;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,01;0,99;0
"h_accesslines300_preg_dic0";"e3_bw";0,000121507529397887;1e-12;6,00712111190953e-06;0,034091018264216;0,034091018264216;0,0343218141108258;0,0115588755912966;0,00834666066635369;0,0553067509711835;0,00834666066635369;0,0553067509711835;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"h_accesspoints300_preg_Log";"e3_bw";0,000121507529397887;1e-12;0,000128535609597985;0,00628997149242707;0,00628997149242707;0,0063010701570942;0,00432488923939083;-0,00251622254324948;0,0142325506478853;-0,00251622254324948;0,0142325506478853;100;1;0,9;TRUE;0,94;0,8;TRUE;TRUE;0,94;0,06;0
"h_connind300_preg_Sqrt";"e3_bw";0,000121507529397887;1e-12;1,74504387225887e-05;0,00402877911266496;0,00402877911266496;0,00449860803826672;0,00365934478673017;-0,00338572986857901;0,00977697921111704;-0,00338572986857901;0,00977697921111704;100;1;0,9;TRUE;0,83;0,8;TRUE;TRUE;0,83;0,17;0
"h_frichness300_preg_None";"e3_bw";0,000121507529397887;1e-12;0,000106192864094424;0,0108369122365407;0,0108369122365407;0,010608825378958;0,00359612705979037;0,00442007111152216;0,0177361030606315;0,00442007111152216;0,0177361030606315;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;1;0;0
"h_landuseshan300_preg_None";"e3_bw";0,000121507529397887;1e-12;6,55186312171232e-05;0,00583425175215499;0,00583425175215499;0,00611942191424817;0,00307037033378417;-0,0001400499813264;0,0110807941286111;-0,0001400499813264;0,0110807941286111;100;1;0,9;TRUE;0,97;0,8;TRUE;TRUE;0,97;0,03;0
"h_walkability_mean_preg_None";"e3_bw";0,000121507529397887;1e-12;-5,78352812866705e-06;-0,0102028946984546;-0,0102028946984546;-0,0100304784447192;0,00342272907068471;-0,0170626083609897;-0,00415315957237308;-0,0170626083609897;-0,00415315957237308;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_co_m_Log2";"e3_bw";0,000121507529397887;1e-12;0,000141998973645003;0,0027856259360201;0,0027856259360201;0,00283520545894372;0,0032394951783478;-0,00382062419044674;0,00961691404161733;-0,00382062419044674;0,00961691404161733;100;1;0,9;TRUE;0,8;0,8;TRUE;TRUE;0,8;0,2;0
"hs_cs_m_Log2";"e3_bw";0,000121507529397887;1e-12;-0,000328448908398943;-0,00904734760456332;-0,00904734760456332;-0,00870989855280192;0,00274388230511253;-0,0145176803703236;-0,00370904132560434;-0,0145176803703236;-0,00370904132560434;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"hs_pb_m_Log2";"e3_bw";0,000121507529397887;1e-12;-7,33010665424836e-05;-0,00220835086027546;-0,00220835086027546;-0,00247227839457257;0,00242007723583109;-0,0070827139543822;0,00268342358974684;-0,0070827139543822;0,00268342358974684;100;1;0,9;TRUE;0,81;0,8;TRUE;TRUE;0,19;0,81;0
"h_pressure_preg_None";"e3_bw";0,000121507529397887;1e-12;-4,95335754561173e-06;-0,0338654694475662;-0,0338654694475662;-0,0338164132084692;0,00509234549714115;-0,0428754043644296;-0,0231771787128049;-0,0428754043644296;-0,0231771787128049;100;1;0,9;TRUE;1;0,8;TRUE;TRUE;0;1;0
"h_ndvi100_preg_None";"e3_bw";0,000121507529397887;1e-12;3,47807867810858e-05;0,00789113005225135;0,00789113005225135;0,00792805497621509;0,00362921777183996;0,000637563185386242;0,0146855537640656;0,000637563185386242;0,0146855537640656;100;1;0,9;TRUE;0,98;0,8;TRUE;TRUE;0,98;0,02;0
"hs_dde_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-0,000204031923088316;-0,00491090715358617;-0,00491090715358617;-0,00477820636678904;0,00296822852265763;-0,0104336957363862;0,000838533454169728;-0,0104336957363862;0,000838533454169728;100;1;0,9;TRUE;0,95;0,8;TRUE;TRUE;0,05;0,95;0
"hs_pcb138_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-2,83385457543608e-05;-0,00632404999068749;-0,00632404999068749;-0,00609206184778012;0,00370000791795554;-0,0142179738029048;-5,85375581797667e-06;-0,0142179738029048;-5,85375581797667e-06;100;1;0,9;TRUE;0,97;0,8;TRUE;TRUE;0,03;0,97;0
"hs_pcb153_madj_Log2";"e3_bw";0,000121507529397887;1e-12;-2,85258765548978e-05;-0,00827385770909836;-0,00827385770909836;-0,00825207771238015;0,00372269745910592;-0,0149844254148934;-0,00184837610565098;-0,0149844254148934;-0,00184837610565098;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,01;0,99;0
"hs_pfna_m_Log2";"e3_bw";0,000121507529397887;1e-12;-0,000311523812491425;-0,00861836538422939;-0,00861836538422939;-0,008439330734802;0,00370341959192094;-0,0168346653984554;-0,00246029694528878;-0,0168346653984554;-0,00246029694528878;100;1;0,9;TRUE;0,99;0,8;TRUE;TRUE;0,01;0,99;0
