"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap"
"hs_no2_dy_hs_h_Log";"e3_bw";0;0,0129132173773147;0,0132970813536135;0,00501348740660097;0,00308696262343172;0,0227394721311978;0,00496625140084598;0,0230087481477674;2,57569558473661;0,0100038677453743;TRUE;100
"hs_no2_wk_hs_h_Log";"e3_bw";0;0,0145215959297084;0,0155832014418333;0,00507555326007401;0,00457369433834844;0,0244694975210683;0,00682357960160848;0,0257021347796555;2,86108630638162;0,00422192101888145;TRUE;100
"hs_no2_yr_hs_h_Log";"e3_bw";0;0,0368990616468259;0,0379716985123618;0,00526028597864309;0,0265890905803044;0,0472090327133474;0,0275672955060581;0,0487340457854003;7,01464935492806;2,30526356302377e-12;TRUE;100
"hs_pm10_dy_hs_h_None";"e3_bw";0;-0,00348886214974638;-0,0028183387977362;0,00418492866242152;-0,0116911716059619;0,00471344730646917;-0,0101767491871666;0,00504376188040214;-0,833673027947775;0,40446526114551;FALSE;100
"hs_pm10_wk_hs_h_None";"e3_bw";0;-0,00640897562859743;-0,00645674538128892;0,00377527242307823;-0,013808373609658;0,000990422352463162;-0,0148059348581443;0,000310777313649356;-1,69761937957626;0,0895796227412572;FALSE;100
"hs_pm10_yr_hs_h_None";"e3_bw";0;-0,00927153684397998;-0,00977409940343251;0,00507663110456801;-0,0192215509717291;0,000678477283769113;-0,019766335739485;-0,000678115476517969;-1,82631683354683;0,0678025510356907;FALSE;100
"hs_pm25_dy_hs_h_None";"e3_bw";0;0,00150387442420423;0,00101637382211678;0,00424403096835856;-0,00681427342305119;0,00982202227145965;-0,0064309037310518;0,00921065547775103;0,3543504831648;0,723076238772928;FALSE;100
"hs_pm25_wk_hs_h_None";"e3_bw";0;-0,0102961372611968;-0,0111895308012852;0,00531398109726692;-0,0207113488263666;0,000119074303972979;-0,0208172038738421;-0,00192250746025048;-1,93755624507063;0,0526773850589414;FALSE;100
"hs_pm25_yr_hs_h_None";"e3_bw";0;0,0280281611909449;0,0294348653579709;0,00588355864621654;0,0164965981434313;0,0395597242384586;0,0190128224506969;0,0405825168451705;4,76381096480931;1,89970483440249e-06;TRUE;100
"hs_pm25abs_dy_hs_h_Log";"e3_bw";0;-0,00262366457068502;-0,00266662076220559;0,00339622056814093;-0,00928013456779539;0,00403280542642535;-0,00923987908969068;0,00330220561768957;-0,772524786904875;0,439803672030763;FALSE;100
"hs_pm25abs_wk_hs_h_Log";"e3_bw";0;-0,0104011534393082;-0,0106845547668978;0,00362125834487621;-0,0174986893739807;-0,00330361750463567;-0,0169534845715805;-0,00457227678446638;-2,87224838681421;0,00407562487998777;TRUE;100
"hs_pm25abs_yr_hs_h_Log";"e3_bw";0;-0,0105034876512256;-0,0105335045226249;0,00435464247002405;-0,0190384300580213;-0,00196854524442996;-0,0206851952835398;-0,00291198888372096;-2,41202067070448;0,0158643820766497;TRUE;100
