"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap"
"h_abs_ratio_preg_Log";"e3_bw";0;-0,00593830174702068;-0,00520845989261218;0,00365475247536104;-0,0131014849711369;0,00122488147709557;-0,0123925653018958;0,00191230222083099;-1,62481639647403;0,104201686270235;FALSE;100
"h_no2_ratio_preg_Log";"e3_bw";0;-0,00235184105931325;-0,00323738708219659;0,00472365396024529;-0,011610032696824;0,00690635057819752;-0,0114045497058994;0,00627932641785808;-0,497885975371304;0,618564412870587;FALSE;100
"h_pm10_ratio_preg_None";"e3_bw";0;-0,00766896972957541;-0,00753222866796374;0,00412664300505765;-0,0157570413965425;0,000419101937391728;-0,0151900467724115;-7,99467074044979e-05;-1,85840396665673;0,0631116694200598;FALSE;100
"h_pm25_ratio_preg_None";"e3_bw";0;-0,00141140171931233;-0,00129132121533476;0,00353129501705819;-0,00833261277153213;0,00550980933290748;-0,00892169524325964;0,00506342837380587;-0,399683887212606;0,68938936129732;FALSE;100
"h_accesslines300_preg_dic0";"e3_bw";0;0,0133390678820261;0,0150088596705921;0,0111256954919614;-0,00846689458517774;0,03514503034923;-0,00644100297694989;0,0347342722943232;1,19894238447062;0,230550349500066;FALSE;100
"h_accesspoints300_preg_Log";"e3_bw";0;0,00586417455184392;0,0063557097483389;0,00432945248358857;-0,00262139638876716;0,014349745492455;-0,00337072339921543;0,0150426106949245;1,35448410025816;0,175581982613353;FALSE;100
"h_builtdens300_preg_Sqrt";"e3_bw";0;-0,001364734475561;-0,00190014356497129;0,00365055429355893;-0,00851968941454457;0,00579022046342257;-0,00793295895969997;0,0047161235069427;-0,373843084040401;0,708521063316736;FALSE;100
"h_connind300_preg_Sqrt";"e3_bw";0;0,00314626567968586;0,00346908930884462;0,0032423579924608;-0,00320863921052289;0,00950117056989461;-0,00282982757442937;0,00877327456941869;0,970363447528506;0,331865361712493;FALSE;100
"h_fdensity300_preg_Log";"e3_bw";0;0,00292712978760177;0,00265176887352571;0,00369287380925843;-0,00431076987799599;0,0101650294531995;-0,00385739595602425;0,00931216361731771;0,792642786835321;0,427985972675897;FALSE;100
"h_frichness300_preg_None";"e3_bw";0;0,00809939280428165;0,00836423914548784;0,00398313935304758;0,000292583126904212;0,0159062024816591;0,00121243582352153;0,0157735882119499;2,03341939269201;0,0420101697366476;TRUE;100
