"exposure";"outcome";"lambda";"beta_unpenalized";"bootstrap_mean";"bootstrap_standard_error";"ci95_lower";"ci95_upper";"bootstrap_q025";"bootstrap_q975";"z_value";"p_value";"significant";"n_valid_bootstrap"
"h_abs_ratio_preg_Log";"e3_bw";0;-0,0100730999513066;-0,00945185171396825;0,00391332467210742;-0,0177430753684492;-0,00240312453416405;-0,015222494908319;-0,000903492323137222;-2,57405168119669;0,0100515257721305;TRUE;100
"h_no2_ratio_preg_Log";"e3_bw";0;0,00138548540941259;0,000187481066389362;0,00455820204350004;-0,00754842643010437;0,0103193972489295;-0,00859914133448472;0,00796057156894212;0,303954365381472;0,761162658349048;FALSE;100
"h_pm10_ratio_preg_None";"e3_bw";0;-0,0109156237498733;-0,0113701451814461;0,00427320995582028;-0,019290961361659;-0,00254028613808753;-0,0194052564354848;-0,00349755500395964;-2,5544318820576;0,010636123873542;TRUE;100
"h_pm25_ratio_preg_None";"e3_bw";0;-0,0025493264704952;-0,00291113990006631;0,00371810381503725;-0,00983667603874918;0,00473802309775878;-0,0110168651879422;0,00356878364704696;-0,68565231024074;0,492932386435479;FALSE;100
"h_accesslines300_preg_dic0";"e3_bw";0;0,0325280475342397;0,0337101536815643;0,0117433576221056;0,00951148953733886;0,0555446055311406;0,0140772986950604;0,0575590768033387;2,76991032556219;0,00560717279028321;TRUE;100
"h_accesspoints300_preg_Log";"e3_bw";0;0,00479603996464746;0,00628642609181636;0,00378425740835034;-0,00262096826394809;0,012213048193243;-0,000320302894750904;0,0129287464199836;1,26736620877441;0,205024376530876;FALSE;100
"h_builtdens300_preg_Sqrt";"e3_bw";0;0,00123039805400062;0,000520550110968152;0,00390952361087362;-0,00643212742002065;0,00889292352802189;-0,00634568545981285;0,00726775330013209;0,314718154042732;0,752975659253905;FALSE;100
"h_connind300_preg_Sqrt";"e3_bw";0;0,00366407016095744;0,00422874029080604;0,00379320036766608;-0,00377046594581216;0,011098606267727;-0,00325661945101632;0,0106998066977112;0,965957451705066;0,334065472174308;FALSE;100
"h_fdensity300_preg_Log";"e3_bw";0;0,00819144441496285;0,00762195242456717;0,00442769017124576;-0,000486668855380824;0,0168695576853065;-0,00124887618176467;0,0160256388698471;1,85004914484749;0,0643064666787001;FALSE;100
"h_frichness300_preg_None";"e3_bw";0;0,0110544091957767;0,0109982001809106;0,00425215291214663;0,00272034263121221;0,0193884757603412;0,00291548035088172;0,0200186665279143;2,59972052373725;0,0093299710413681;TRUE;100
"h_landuseshan300_preg_None";"e3_bw";0;0,00571725453896383;0,00562169263699685;0,00312040260137357;-0,000398622176993458;0,0118331312549211;-0,000609388456287054;0,0116105734769808;1,83221695060988;0,0669191044430826;FALSE;100
"h_popdens_preg_Sqrt";"e3_bw";0;0,00210240919294708;0,00341009852217222;0,0042178431723459;-0,00616441151728904;0,0103692299031832;-0,00473048924118855;0,0114530795432117;0,498455989718023;0,618162681752864;FALSE;100
"h_walkability_mean_preg_None";"e3_bw";0;-0,00966008983383474;-0,0102779565055999;0,00422485223852302;-0,0179406480613433;-0,0013795316063262;-0,0177702265003415;-0,0022537469534481;-2,28649176076554;0,0222255055932073;TRUE;100
